Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.632081,1.542874,2.294781,-0.982903,-1.883212
1,0.316420,0.855419,4.305297,-0.879943,-1.090848
2,0.332223,0.822351,2.352839,-0.955690,-1.778219
3,0.781927,1.672456,1.749185,-0.969831,-2.117641
4,0.393922,1.352470,4.152753,-0.977980,-1.296110
5,0.862651,1.689111,1.141730,-0.659671,-4.334760
6,0.332502,0.525004,1.703775,-0.770981,-1.134968
7,0.643940,1.469867,2.193950,-0.997222,-1.920349
8,0.460708,1.771391,4.178983,-0.769326,-1.474385
9,0.264869,0.631867,3.389232,-0.997009,-0.960577
10,0.545956,1.420005,2.952259,-0.836806,-1.686216
11,0.401773,0.877888,2.892325,-0.974509,-1.325929
12,0.446762,1.465986,3.488538,-0.857018,-2.607302
13,0.565740,1.776733,3.079605,-0.986588,-1.742115
14,0.570214,1.503295,2.448709,-0.713775,-3.154990
15,0.532533,1.231884,2.570328,-0.976592,-1.663239
16,0.441011,1.327733,3.793683,-0.910888,-1.416982
17,0.487521,0.688258,0.353824,-0.976640,-2.558147
18,0.353803,0.620378,2.282918,-0.704045,-1.190660
19,0.393904,1.425635,4.208672,-0.947593,-1.297599
20,0.622992,0.944349,1.314200,-0.863760,-1.868498
21,0.352833,1.125903,4.641586,-0.659714,-1.187903
22,0.524145,1.746170,3.311334,-0.984366,-1.632798
23,0.468719,1.233503,3.034259,-0.996864,-1.495294
24,0.472964,0.988328,2.589271,-0.985102,-1.509236
25,0.319770,0.656062,3.146586,-0.793380,-1.100285
26,0.540423,0.610552,0.065438,-0.871810,-2.009386
27,0.384573,0.613343,0.726077,-0.675764,-0.127261
28,0.430475,1.503757,3.744868,-0.725117,-2.435366
29,0.317867,0.715463,3.514704,-0.897423,-1.093596
30,0.339824,1.062396,4.603402,-0.976531,-1.154788
31,0.331942,1.316894,4.912304,-0.972504,-1.132637
32,0.508628,0.848922,1.647339,-0.978428,-1.581963
