Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
14071,0.175000,1.937500,4.166667,-0.000533,-0.806832,0
14072,0.175000,2.000000,4.166667,-0.000483,-0.813382,0
14073,0.175000,1.500000,3.750000,-0.000857,-0.795362,0
14074,0.175000,0.937500,1.666667,-0.001028,-0.778284,0
14075,0.175000,1.250000,3.125000,-0.001017,-0.790151,0
14076,0.175000,1.875000,5.000000,-0.002312,-0.775905,0
14077,0.175000,1.000000,2.708333,-0.002556,-0.775729,0
14078,0.175000,0.625000,1.250000,-0.021344,-0.716412,0
14079,0.175000,1.062500,3.333333,-0.003691,-0.745866,0
14080,0.175000,0.750000,1.875000,-0.011688,-0.745103,0
14081,0.775000,1.625000,0.833333,-0.094188,-0.122188,0
14082,0.925000,1.937500,0.208333,-0.035202,-0.127073,0
14083,0.737500,1.187500,0.000000,-0.106304,-0.102320,0
14084,0.100000,1.937500,0.416667,-0.000000,-0.823896,0
14085,0.100000,1.687500,0.000000,-0.000000,-0.828406,0
14086,0.212500,0.562500,4.791667,-0.000116,-0.820420,0
14087,0.175000,1.500000,3.333333,-0.000459,-0.815560,0
14088,0.175000,1.125000,2.291667,-0.000514,-0.808242,0
14089,0.175000,1.750000,3.750000,-0.000433,-0.818235,0
14090,0.175000,0.875000,1.041667,-0.000567,-0.799471,0
14091,0.175000,1.750000,3.958333,-0.000565,-0.800953,0
14092,0.175000,1.000000,1.666667,-0.000488,-0.812186,0
14093,0.175000,1.187500,2.500000,-0.000495,-0.810926,0
14094,0.175000,1.062500,1.875000,-0.000437,-0.817426,0
14095,0.175000,0.937500,1.458333,-0.000571,-0.798654,0
14096,0.175000,1.187500,2.708333,-0.000633,-0.795147,0
14097,0.175000,1.562500,3.750000,-0.000674,-0.793811,0
14098,0.175000,1.687500,3.958333,-0.000649,-0.794622,0
14099,0.175000,1.875000,4.375000,-0.000831,-0.793436,0
14100,0.175000,1.062500,2.916667,-0.002285,-0.775905,0
14101,0.175000,1.250000,3.750000,-0.002546,-0.775729,0
14102,0.175000,1.000000,4.375000,-0.021325,-0.716412,0
14103,0.175000,0.937500,3.333333,-0.011618,-0.743992,0
14104,0.175000,1.562500,5.000000,-0.004689,-0.744562,0
14105,0.775000,1.375000,0.416667,-0.094181,-0.122188,0
14106,0.737500,1.937500,1.250000,-0.106100,-0.102320,0
14107,0.212500,0.500000,4.375000,-0.000021,-0.820420,0
14108,0.175000,0.875000,0.833333,-0.000456,-0.815560,0
14109,0.175000,1.250000,2.708333,-0.000485,-0.812186,0
14110,0.175000,1.312500,2.916667,-0.000493,-0.810926,0
14111,0.175000,1.250000,2.916667,-0.000629,-0.795147,0
14112,0.175000,1.125000,2.500000,-0.000670,-0.793535,0
14113,0.175000,1.812500,4.166667,-0.000670,-0.793811,0
14114,0.175000,2.000000,4.375000,-0.000648,-0.794622,0
14115,0.175000,1.062500,2.291667,-0.000817,-0.790151,0
14116,0.175000,1.437500,3.541667,-0.000745,-0.793014,0
14117,0.175000,1.750000,4.166667,-0.000778,-0.792816,0
14118,0.175000,1.937500,4.375000,-0.000724,-0.793388,0
14119,0.175000,0.812500,1.458333,-0.002541,-0.775729,0
14120,0.175000,0.750000,2.708333,-0.021276,-0.716412,0
14121,0.175000,0.875000,2.916667,-0.011572,-0.743992,0
14122,0.775000,1.812500,1.041667,-0.094158,-0.122188,0
14123,0.737500,1.750000,1.041667,-0.106019,-0.102320,0
14124,0.212500,0.562500,5.000000,-0.000014,-0.820420,0
14125,0.175000,0.812500,0.416667,-0.000481,-0.812186,0
14126,0.175000,1.000000,1.875000,-0.000622,-0.795147,0
14127,0.175000,1.312500,3.125000,-0.000645,-0.794622,0
14128,0.175000,1.625000,3.958333,-0.000774,-0.792816,0
14129,0.175000,1.375000,3.333333,-0.000682,-0.793352,0
14130,0.175000,1.625000,4.583333,-0.002234,-0.775501,0
14131,0.175000,0.687500,2.083333,-0.021269,-0.716412,0
14132,0.175000,0.812500,1.875000,-0.005186,-0.743823,0
14133,0.175000,1.062500,3.958333,-0.010845,-0.738703,0
14134,0.175000,1.250000,4.375000,-0.006865,-0.740218,0
14135,0.775000,1.500000,0.625000,-0.094148,-0.122188,0
14136,0.737500,1.375000,0.416667,-0.105889,-0.102320,0
14137,0.212500,0.500000,4.583333,-0.000003,-0.820420,0
14138,0.137500,1.125000,0.000000,-0.000004,-0.814862,0
14139,0.137500,1.250000,0.416667,-0.000004,-0.819868,0
14140,0.137500,1.562500,1.250000,-0.000004,-0.819024,0
14141,0.137500,1.625000,1.458333,-0.000005,-0.812416,0
14142,0.137500,1.937500,1.875000,-0.000004,-0.816514,0
14143,0.137500,1.500000,1.250000,-0.000005,-0.807646,0
14144,0.137500,1.562500,1.458333,-0.000006,-0.802292,0
14145,0.137500,1.625000,1.666667,-0.000007,-0.796455,0
14146,0.137500,1.687500,1.666667,-0.000006,-0.804558,0
14147,0.137500,1.812500,1.875000,-0.000006,-0.803798,0
14148,0.137500,1.875000,1.875000,-0.000005,-0.810010,0
14149,0.137500,1.937500,2.083333,-0.000006,-0.800068,0
14150,0.137500,2.000000,2.083333,-0.000005,-0.806093,0
14151,0.137500,1.875000,2.083333,-0.000007,-0.794343,0
14152,0.175000,0.812500,0.625000,-0.000717,-0.779892,0
14153,0.137500,1.437500,1.458333,-0.000009,-0.783747,0
14154,0.137500,1.500000,1.458333,-0.000007,-0.792958,0
14155,0.137500,1.500000,1.666667,-0.000010,-0.780038,0
14156,0.137500,1.562500,1.666667,-0.000008,-0.788250,0
14157,0.137500,1.625000,1.875000,-0.000009,-0.782496,0
14158,0.137500,1.687500,1.875000,-0.000008,-0.789573,0
14159,0.137500,1.750000,2.083333,-0.000009,-0.783119,0
14160,0.137500,1.812500,2.083333,-0.000008,-0.788909,0
14161,0.137500,1.875000,2.291667,-0.000010,-0.781259,0
14162,0.137500,1.937500,2.291667,-0.000009,-0.786296,0
14163,0.137500,2.000000,2.291667,-0.000008,-0.790914,0
14164,0.175000,1.000000,2.083333,-0.001159,-0.775084,0
14165,0.175000,1.750000,4.791667,-0.002224,-0.774995,0
14166,0.175000,0.562500,0.416667,-0.021259,-0.716412,0
14167,0.175000,0.750000,1.250000,-0.004676,-0.743823,0
14168,0.175000,0.687500,1.041667,-0.010026,-0.734330,0
14169,0.175000,1.187500,4.166667,-0.007045,-0.734958,0
14170,0.175000,1.312500,4.583333,-0.006958,-0.738427,0
14171,0.775000,1.312500,0.208333,-0.094061,-0.122188,0
14172,0.737500,1.625000,0.833333,-0.105662,-0.102320,0
14173,0.212500,0.500000,4.791667,-0.000000,-0.820420,0
14174,0.137500,1.312500,0.625000,-0.000004,-0.819024,0
14175,0.137500,1.750000,1.666667,-0.000005,-0.812416,0
14176,0.137500,1.375000,0.833333,-0.000004,-0.816514,0
14177,0.137500,1.312500,0.833333,-0.000006,-0.802292,0
14178,0.137500,1.750000,1.875000,-0.000007,-0.796455,0
14179,0.137500,1.250000,0.625000,-0.000006,-0.803043,0
14180,0.137500,1.125000,0.208333,-0.000006,-0.799336,0
14181,0.137500,1.375000,1.041667,-0.000006,-0.800068,0
14182,0.137500,1.062500,0.000000,-0.000007,-0.793648,0
14183,0.175000,0.750000,0.000000,-0.000645,-0.778284,0
14184,0.137500,1.312500,1.041667,-0.000008,-0.787594,0
14185,0.137500,1.250000,0.833333,-0.000008,-0.788250,0
14186,0.137500,1.062500,0.208333,-0.000009,-0.781259,0
14187,0.137500,1.125000,0.416667,-0.000008,-0.785014,0
14188,0.137500,1.375000,1.250000,-0.000008,-0.785653,0
14189,0.175000,0.875000,1.250000,-0.001079,-0.775084,0
14190,0.175000,1.437500,4.166667,-0.002187,-0.774995,0
