NSGA-II_n_evals,NSGA-II_igde,NSGA-II_igde_sigma,RS__n_evals,RS__igde,RS__igde_sigma
250,0.26923125903450573,0.05349647702963044,250,0.20532650887260645,0.04090474300161592
500,0.24695470583912682,0.0547163196688187,500,0.1395157662900196,0.01912686740438221
750,0.2408755415506733,0.05726526032595064,750,0.11766699593857173,0.010704319646561178
1000,0.2386936434843288,0.058295090827532106,1000,0.10604198357411854,0.01096237193938886
1250,0.23596819716051579,0.0595786203061103,1250,0.09241456584675342,0.00946810497814752
1500,0.23455510653537912,0.05970036526996602,1500,0.08582178495470087,0.007783218316442952
1750,0.23044518604102002,0.06129851721780849,1750,0.08002219324804791,0.006195418807986445
2000,0.22811949474319193,0.061734308736482835,2000,0.07674991753158636,0.0055321716419408536
