run,NSGA-II,RS
1,0.2137856092231408,0.0767913169466916
2,0.2265930926275103,0.07212353006669514
3,0.18824445889490185,0.07006127878992209
4,0.16500756496893088,0.07457271987964671
5,0.18713074561644738,0.09050639297975653
6,0.29031980554174747,0.07620404644816658
7,0.3457982521828153,0.07975770827447924
8,0.2858825650696848,0.07510966668249608
9,0.2263545718493565,0.07503521245016324
10,0.1520782814573842,0.07733730279784637
