Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.553988,1.699474,3.091768,-0.972703,-1.706263,1
1,0.996948,1.599426,0.268604,-0.119078,-4.560508,0
2,0.570654,1.818786,1.516381,-0.190946,-1.754417,0
3,0.309051,1.086327,4.399675,-0.850257,-1.447928,1
4,0.987114,1.310302,1.231014,-0.000008,-2.870117,0
5,0.928676,1.164329,0.846857,-0.015216,-2.659476,0
6,0.372146,1.115929,1.868101,-0.320005,-1.269541,0
7,0.384241,0.979291,0.431605,-0.079647,-1.279463,0
8,0.376708,1.146591,1.940212,-0.322003,-1.267267,0
9,0.933010,1.150697,0.441569,-0.342679,-0.068405,0
10,0.998846,1.239047,2.386553,-0.000000,-2.778812,0
11,0.746280,0.978453,2.567070,-0.000000,-2.078639,0
12,0.690037,1.397566,2.377313,-0.004571,-1.998038,0
13,0.598308,1.323715,2.866935,-0.015174,-1.803884,0
14,0.728480,1.036652,2.342657,-0.000000,-2.055672,0
15,0.791050,0.585523,1.727740,-0.000000,-2.138159,0
16,0.305634,1.647128,4.342497,-0.267672,-1.077999,0
17,0.951655,0.507988,1.472381,-0.000000,-2.738761,0
18,0.649206,1.140617,2.628378,-0.000010,-1.926038,0
19,0.592309,1.750671,0.316093,-0.005668,-1.802945,0
20,0.484547,1.301768,1.413104,-0.201378,-0.038375,0
21,0.930396,1.381939,0.544098,-0.199411,-0.128792,0
22,0.768657,1.033925,4.811347,-0.000000,-2.002605,0
23,0.945711,1.573594,4.519479,-0.000000,-2.723434,0
24,0.836577,1.322722,4.657576,-0.000000,-2.215222,0
25,0.660163,0.580282,3.306482,-0.000000,-1.852820,0
26,0.646540,1.816076,4.929304,-0.000000,-1.837359,0
27,0.156171,1.421833,4.954689,-0.002904,-0.699242,0
28,0.517364,1.747422,4.812268,-0.000000,-1.605045,0
29,0.315287,1.864853,2.364100,-0.002344,-1.155548,0
30,0.216506,1.058523,1.988837,-0.002746,-0.892426,0
31,0.584345,1.919458,4.553548,-0.000000,-1.776778,0
32,0.146304,0.732257,3.728223,-0.005068,-0.638766,0
33,0.787724,1.620926,0.722951,-0.088061,-0.025598,0
34,0.414377,0.772755,4.353705,-0.000000,-1.348192,0
35,0.342213,0.622154,4.686675,-0.000000,-1.146207,0
36,0.197187,1.635485,1.655885,-0.000031,-0.921277,0
37,0.227966,1.963072,1.251608,-0.000013,-1.009102,0
38,0.157367,0.937283,0.196036,-0.000048,-0.805810,0
