Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.589542,1.074296,0.934378,-0.796182,-3.425286,1
1,0.589542,1.074296,0.935281,-0.796182,-3.425286,1
2,0.589695,1.073052,0.925790,-0.790098,-3.425751,1
3,0.617325,0.871545,0.917140,-0.999433,-2.721592,1
4,0.617423,0.871286,0.916554,-0.995979,-2.721620,1
5,0.617423,0.871286,0.917140,-0.995979,-2.721620,1
6,0.623777,0.880991,0.913790,-0.980885,-2.804665,1
7,0.628686,0.884288,0.917140,-0.982784,-2.726819,1
8,0.792036,1.438578,1.410127,-0.999936,-2.147607,1
9,0.799060,1.437541,0.925482,-0.706036,-4.091439,1
10,0.800665,1.437541,0.925482,-0.711501,-4.052563,1
11,0.927003,1.385339,0.193605,-0.635675,-4.698560,1
12,0.959410,1.386630,0.062812,-0.587477,-4.841906,0
