Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.348478,0.703162,3.036511,-0.723643,-1.173010
1,0.348478,0.703162,3.036511,-0.723643,-1.173010
2,0.335689,0.697134,3.060449,-0.951613,-1.143992
3,0.381524,0.937016,3.536923,-0.811331,-1.262861
4,0.279024,0.778165,3.984038,-0.844131,-0.983482
5,0.348478,0.703162,3.036511,-0.723643,-1.173010
6,0.370536,0.650244,1.837297,-0.997031,-1.245212
7,0.279024,0.778165,4.169703,-0.998303,-0.993210
8,0.456585,1.377399,3.634237,-0.996538,-1.471368
9,0.335689,0.697134,3.060449,-0.951613,-1.143992
10,0.381524,0.937016,3.536923,-0.811331,-1.262861
11,0.382486,0.949210,3.596308,-0.721385,-1.264573
12,0.280631,0.697357,3.337562,-0.858743,-0.984472
13,0.348478,0.703162,3.036511,-0.723643,-1.173010
14,0.289623,0.697134,3.060449,-0.738702,-1.025032
15,0.348776,0.703162,3.036511,-0.701783,-1.174370
16,0.279024,0.778165,3.984038,-0.844131,-0.983482
17,0.370536,0.650244,1.837297,-0.997031,-1.245212
18,0.279024,0.778165,4.169703,-0.998303,-0.993210
19,0.456585,1.377399,3.634237,-0.996538,-1.471368
20,0.621073,1.130037,1.795755,-0.976542,-1.867042
21,0.370536,0.650244,0.972322,-0.771658,-2.261152
22,0.345645,0.842320,3.406942,-0.995717,-1.166041
23,0.340175,0.795496,1.902097,-0.852569,-1.819973
24,0.804192,1.387408,1.437510,-0.624069,-2.196294
25,0.335689,0.697134,3.060449,-0.951613,-1.143992
26,0.381524,0.937016,3.536923,-0.811331,-1.262861
27,0.382486,0.949210,3.596308,-0.721385,-1.264573
28,0.280631,0.696927,3.337562,-0.858895,-0.984472
29,0.348478,0.703162,3.036511,-0.723643,-1.173010
30,0.289623,0.697134,3.060449,-0.738702,-1.025032
31,0.348776,0.703162,3.036511,-0.701783,-1.174370
32,0.349170,0.703162,3.036511,-0.677239,-1.175771
33,0.280631,0.697357,3.337562,-0.858743,-0.984472
34,0.279024,0.778165,3.984038,-0.844131,-0.983482
35,0.279024,0.778165,4.169703,-0.998303,-0.993210
36,0.456585,1.377399,3.634237,-0.996538,-1.471368
37,0.621073,1.130037,1.795755,-0.976542,-1.867042
38,0.370536,0.650244,0.972322,-0.771658,-2.261152
39,0.455294,1.377399,3.630703,-0.997959,-1.470379
40,0.794690,1.387239,1.437510,-0.799605,-2.158837
41,0.456585,1.377399,3.476250,-0.983594,-1.472459
42,0.340175,0.795496,1.902097,-0.852569,-1.819973
43,0.804192,1.387408,1.437510,-0.624069,-2.196294
44,0.370536,0.650244,1.837297,-0.997031,-1.245212
45,0.348036,0.937016,2.708412,-0.641330,-1.858755
46,0.381524,0.937016,3.536923,-0.811331,-1.262861
47,0.382486,0.949210,3.596308,-0.721385,-1.264573
48,0.576385,0.752133,0.883220,-0.653628,-1.768212
49,0.345645,0.842320,3.406942,-0.995717,-1.166041
50,0.346936,0.842320,3.410476,-0.995595,-1.170415
51,0.348478,0.703162,3.036511,-0.723643,-1.173010
52,0.348776,0.703162,3.036511,-0.701783,-1.174370
53,0.349170,0.703162,3.036511,-0.677239,-1.175771
54,0.335689,0.697134,3.060449,-0.951613,-1.143992
55,0.280631,0.696927,3.337562,-0.858895,-0.984472
56,0.289623,0.697134,3.060449,-0.738702,-1.025032
57,0.280631,0.697357,3.337562,-0.858743,-0.984472
58,0.456585,1.377399,3.634237,-0.996538,-1.471368
59,0.621073,1.130037,1.795755,-0.976542,-1.867042
60,0.370536,0.650244,0.972322,-0.771658,-2.261152
61,0.455294,1.377399,3.630703,-0.997959,-1.470379
62,0.794690,1.387239,1.437510,-0.799605,-2.158837
63,0.456585,1.377399,3.476250,-0.983594,-1.472459
64,0.337657,0.799748,3.536923,-0.999488,-1.152397
65,0.621068,1.130037,0.884997,-0.666265,-3.494509
66,0.340175,0.795496,1.902097,-0.852569,-1.819973
67,0.621073,1.087440,1.795755,-0.828610,-1.867042
68,0.370536,0.650244,1.837297,-0.997031,-1.245212
69,0.279024,0.778165,4.169703,-0.998303,-0.993210
70,0.588550,1.078592,0.893199,-0.637759,-3.421175
71,0.348036,0.937016,2.708412,-0.641330,-1.858755
72,0.381524,0.937016,3.536923,-0.811331,-1.262861
73,0.382486,0.949210,3.596308,-0.721385,-1.264573
74,0.576385,0.752133,0.883220,-0.653628,-1.768212
75,0.345645,0.842320,3.406942,-0.995717,-1.166041
