Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
89,1.98,4.31,100,1.00,2.08,10.00,4.00,4.89,-1
90,1.98,4.31,100,1.00,1.38,10.00,4.00,7.27,-1
91,1.98,4.31,100,0.00,0.00,0.21,3.00,10.00,-1
92,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
93,1.98,4.31,100,1.00,2.54,10.00,4.00,4.33,-1
94,1.98,4.31,100,1.00,2.08,10.00,4.00,5.36,-1
95,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
96,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
97,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
98,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
99,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
100,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
101,1.98,4.31,100,0.00,0.00,0.17,3.00,10.00,-1
102,1.98,4.31,100,0.00,0.00,0.21,3.00,10.00,-1
103,1.98,4.31,100,1.00,2.65,10.00,4.00,4.82,-1
104,1.98,4.31,100,1.00,2.35,10.00,4.00,4.58,-1
105,1.98,4.31,100,1.00,2.43,10.00,4.00,4.86,-1
106,1.98,4.31,100,1.00,2.37,10.00,4.00,4.66,-1
107,1.98,4.31,100,1.00,2.51,10.00,4.00,5.21,-1
108,1.98,4.31,100,1.00,2.07,10.00,4.00,5.53,-1
109,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
110,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
111,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
112,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
113,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
114,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
115,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
116,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
117,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
118,1.98,4.31,100,1.00,2.37,10.00,4.00,4.91,-1
119,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
120,1.98,4.31,100,1.00,2.13,10.00,4.00,4.57,-1
121,1.98,4.31,100,1.00,1.38,10.00,4.00,7.25,-1
122,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
123,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
124,1.98,4.31,100,1.00,2.08,10.00,4.00,4.85,-1
125,1.98,4.31,100,1.00,1.18,10.00,4.00,8.04,-1
126,1.98,4.31,100,1.00,2.48,10.00,4.00,4.19,-1
127,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
128,1.98,4.31,100,1.00,2.08,10.00,4.00,4.89,-1
129,1.98,4.31,100,1.00,1.38,10.00,4.00,7.27,-1
130,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
131,1.98,4.31,100,1.00,2.54,10.00,4.00,4.33,-1
132,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
133,1.98,4.31,100,1.00,2.07,10.00,4.00,4.85,-1
134,1.98,4.31,100,1.00,2.08,10.00,4.00,4.86,-1
135,1.98,4.31,100,1.00,2.07,10.00,4.00,4.87,-1
136,1.98,4.31,100,1.00,1.08,10.00,4.00,8.79,-1
137,1.98,4.31,100,1.00,2.29,10.00,4.00,4.65,-1
138,1.98,4.31,100,1.00,2.30,10.00,4.00,4.55,-1
139,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
140,1.98,4.31,100,1.00,2.65,10.00,4.00,4.82,-1
141,1.98,4.31,100,1.00,2.35,10.00,4.00,4.58,-1
142,1.98,4.31,100,1.00,2.43,10.00,4.00,4.86,-1
143,1.98,4.31,100,1.00,2.37,10.00,4.00,4.66,-1
144,1.98,4.31,100,1.00,2.51,10.00,4.00,5.21,-1
145,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
146,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
147,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
148,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
149,1.98,4.31,100,0.00,0.00,0.21,3.00,10.00,-1
150,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
151,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
152,1.98,4.31,100,0.00,0.00,0.17,3.00,10.00,-1
153,1.98,4.31,100,1.00,2.08,10.00,4.00,5.36,-1
154,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
155,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
156,1.98,4.31,100,1.00,2.65,10.00,4.00,4.83,-1
157,1.98,4.31,100,0.00,0.00,0.21,3.00,10.00,-1
158,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
159,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
160,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
161,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
162,1.98,4.31,100,1.00,1.18,10.00,4.00,8.04,-1
163,1.98,4.31,100,1.00,2.48,10.00,4.00,4.19,-1
164,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
165,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
166,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
167,1.98,4.31,100,1.00,1.40,10.00,4.00,7.09,-1
168,1.98,4.31,100,1.00,3.01,0.13,4.00,9.29,-1
169,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
170,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
171,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
172,1.98,4.31,100,1.00,2.54,10.00,4.00,4.31,-1
173,1.98,4.31,100,1.00,1.16,10.00,4.00,8.24,-1
174,1.98,4.31,100,1.00,1.08,10.00,4.00,8.80,-1
175,1.98,4.31,100,1.00,2.29,10.00,4.00,4.65,-1
176,1.98,4.31,100,1.00,2.30,10.00,4.00,4.55,-1
177,1.98,4.31,100,1.00,1.50,10.00,4.00,6.77,-1
178,1.98,4.31,100,1.00,2.14,10.00,4.00,4.58,-1
179,1.98,4.31,100,1.00,2.65,10.00,4.00,4.82,-1
180,1.98,4.31,100,1.00,2.69,10.00,4.00,4.64,-1
181,1.98,4.31,100,1.00,2.54,10.00,4.00,4.33,-1
182,1.98,4.31,100,1.00,1.07,10.00,4.00,8.83,-1
183,1.98,4.31,100,1.00,1.38,10.00,4.00,7.25,-1
184,1.98,4.31,100,1.00,2.13,10.00,4.00,4.57,-1
185,1.98,4.31,100,1.00,2.07,10.00,4.00,4.87,-1
186,1.98,4.31,100,1.00,2.08,10.00,4.00,4.82,-1
187,1.98,4.31,100,1.00,2.65,10.00,4.00,4.83,-1
188,1.98,4.31,100,1.00,2.52,10.00,4.00,4.62,-1
189,1.98,4.31,100,1.00,2.35,10.00,4.00,4.58,-1
190,1.98,4.31,100,1.00,2.43,10.00,4.00,4.86,-1
191,1.98,4.31,100,1.00,2.37,10.00,4.00,4.66,-1
192,1.98,4.31,100,1.00,2.51,10.00,4.00,5.21,-1
193,1.98,4.31,100,1.00,1.08,10.00,4.00,8.79,-1
194,1.98,4.31,100,1.00,1.38,10.00,4.00,7.27,-1
195,1.98,4.31,100,1.00,2.12,10.00,4.00,4.61,-1
196,1.98,4.31,100,1.00,2.08,10.00,4.00,4.85,-1
197,1.98,4.31,100,0.00,0.00,0.22,3.00,10.00,-1
198,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
199,1.98,4.31,100,1.00,2.65,10.00,4.00,4.84,-1
200,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
201,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
202,1.98,4.31,100,1.00,2.48,10.00,4.00,4.19,-1
203,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
204,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
205,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
206,1.98,4.31,100,1.00,3.01,0.13,4.00,9.29,-1
207,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
208,1.98,4.31,100,1.00,2.52,10.00,4.00,4.23,-1
209,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
