Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.427089,0.836442,0.999037,-0.909367,-2.726186,1
1,0.427089,0.836442,0.999527,-0.909367,-2.726186,1
2,0.433652,0.718358,1.260470,-0.999985,-2.389604,1
3,0.437518,0.840316,0.885865,-0.901906,-2.785962,1
4,0.437826,0.840649,0.872798,-0.882953,-2.786312,1
5,0.445612,0.838091,0.747652,-0.869185,-2.794997,1
6,0.472733,0.905075,0.879127,-0.757711,-2.910779,1
7,0.486294,0.726040,0.682803,-0.997867,-2.552248,1
8,0.486294,0.905774,0.682803,-0.687925,-3.087620,1
9,0.487869,0.912833,0.693205,-0.642539,-3.120668,1
10,0.487963,0.912844,0.693196,-0.643869,-3.120637,1
11,0.489111,0.920270,0.693205,-0.543086,-3.129041,0
12,0.489129,0.920270,0.693205,-0.543327,-3.129021,0
13,0.489135,0.719027,0.724565,-0.995696,-2.565369,1
14,0.489135,0.920037,0.693205,-0.547348,-3.128982,0
15,0.489135,0.920037,0.693212,-0.547348,-3.128982,0
