Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.886933,1.145663,1.358647,-0.000003,-2.482526,0
1,0.870020,1.590023,1.928374,-0.000017,-2.413365,0
2,0.787927,1.376643,1.595192,-0.355272,-2.132843,0
3,0.430707,0.680675,1.809561,-0.624198,-1.390537,1
4,0.914073,0.834813,4.553573,-0.000000,-2.616358,0
5,0.947930,1.543207,2.987783,-0.000000,-2.496525,0
6,0.963901,0.959355,4.012125,-0.000000,-2.533572,0
7,0.876443,0.843038,0.686051,-0.000003,-2.465339,0
8,0.736897,1.091907,1.339644,-0.283360,-2.076503,0
9,0.258048,1.005220,3.627061,-0.459491,-0.930231,0
10,0.300680,0.831424,1.523462,-0.419768,-1.056007,0
11,0.335836,1.309115,4.440399,-0.438501,-1.002066,0
12,0.348882,0.895425,1.005064,-0.353655,-1.170406,0
13,0.868136,0.543817,2.604041,-0.000000,-2.488647,0
14,0.810010,1.798433,3.618660,-0.000000,-2.220318,0
15,0.888992,1.728176,3.921152,-0.000000,-2.374792,0
16,0.479970,1.964215,1.200701,-0.004952,-1.556377,0
17,0.606264,0.649329,1.243660,-0.000051,-1.828810,0
18,0.637831,1.464625,3.113842,-0.000017,-1.897025,0
19,0.291529,1.129436,3.654856,-0.454983,-0.156425,0
20,0.326811,0.843212,0.248052,-0.057430,-1.163064,0
21,0.318507,0.884395,0.840254,-0.079332,-1.110630,0
22,0.969971,1.963224,1.253974,-0.343118,-0.610246,0
23,0.294644,1.890130,4.690945,-0.162937,-1.052940,0
24,0.826669,1.309883,3.652247,-0.000000,-2.185527,0
25,0.863643,1.589604,4.625625,-0.000000,-2.312123,0
26,0.392765,1.931052,0.271523,-0.000060,-1.395912,0
27,0.286603,1.868383,2.966624,-0.003264,-1.077888,0
28,0.327488,1.811913,4.641626,-0.267197,-0.088977,0
29,0.221849,0.942356,3.445854,-0.118212,-0.849677,0
30,0.613774,1.182185,0.011024,-0.139418,-0.174729,0
31,0.618463,1.035900,4.915672,-0.000000,-1.780391,0
32,0.759217,1.237344,4.496291,-0.000000,-1.993716,0
33,0.270153,1.752863,0.061619,-0.000005,-1.126830,0
34,0.277864,1.189430,1.564919,-0.003081,-1.063181,0
