Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.431828,1.676687,4.884632,-0.000752,-1.383412,0
1,0.925672,1.130952,4.162853,-0.000000,-2.435770,0
2,0.840673,0.548927,2.848666,-0.000000,-2.239329,0
3,0.856694,1.115771,4.198671,-0.000000,-2.289391,0
4,0.343967,0.991252,2.885051,-0.349224,-1.402700,0
5,0.360881,1.344503,2.515730,-0.157106,-1.225512,0
6,0.395744,1.948138,4.931638,-0.949568,-1.302132,1
7,0.402652,1.109330,2.698601,-0.512112,-2.372464,0
8,0.613737,0.633246,1.134296,-0.000026,-1.853991,0
9,0.203247,0.876403,0.967737,-0.001827,-0.853028,0
10,0.856835,1.944026,0.800677,-0.055023,-0.079977,0
11,0.283382,1.811780,0.658284,-0.000022,-1.134336,0
12,0.778093,1.746096,1.671235,-0.615314,-3.846513,1
13,0.510802,1.808679,3.920626,-0.033456,-1.598840,0
14,0.745311,1.469779,1.530594,-0.326489,-0.098626,0
15,0.358365,1.569039,1.329864,-0.001921,-1.268510,0
16,0.359203,1.202586,3.851345,-0.787559,-1.912384,1
17,0.146813,1.581638,2.373861,-0.000031,-0.771803,0
18,0.613009,1.248497,2.120768,-0.994560,-1.852920,1
19,0.508232,1.369760,1.145941,-0.200884,-1.588729,0
20,0.303692,0.543023,1.859626,-0.994656,-1.069821,1
21,0.221345,1.553273,4.104300,-0.007690,-0.905864,0
22,0.453978,1.537336,3.628041,-0.991089,-1.464817,1
23,0.527104,0.598988,4.073709,-0.000000,-1.540815,0
24,0.177688,1.265427,2.739671,-0.000511,-0.820089,0
25,0.825166,1.317470,4.288822,-0.000000,-2.169935,0
26,0.823662,1.784114,4.838424,-0.000000,-2.164595,0
27,0.299294,1.140061,2.083543,-0.032187,-1.082073,0
28,0.922097,1.106720,3.596597,-0.000000,-2.449979,0
29,0.150685,1.559240,1.522217,-0.000009,-0.835305,0
30,0.443360,0.758532,2.925569,-0.001643,-1.423537,0
31,0.602968,0.901293,0.652319,-0.349996,-0.033677,0
32,0.889516,1.083763,4.104552,-0.000000,-2.370676,0
33,0.366864,1.084723,2.226820,-0.272711,-0.049484,0
34,0.756598,0.789423,2.046243,-0.000000,-2.079991,0
35,0.148250,1.129388,2.348831,-0.000224,-0.738045,0
36,0.830629,0.503017,0.040948,-0.000000,-2.282535,0
37,0.154410,0.851600,4.699713,-0.007552,-0.687735,0
38,0.729571,1.264029,0.334794,-0.107500,-0.108210,0
39,0.147657,1.222078,0.176131,-0.000004,-0.845068,0
40,0.612138,1.056184,0.102692,-0.139071,-0.156543,0
41,0.804143,0.862426,3.054052,-0.000000,-2.133357,0
42,0.176828,0.965198,1.243486,-0.000403,-0.827040,0
43,0.949669,0.786168,3.180217,-0.000000,-2.494684,0
44,0.713776,1.238796,3.489781,-0.000000,-2.048153,0
45,0.738358,0.837617,2.196805,-0.000000,-2.075885,0
46,0.718497,1.986534,2.207287,-0.295315,-2.353973,0
47,0.359242,1.103256,4.029344,-0.995803,-1.210131,1
48,0.460918,1.296184,2.607013,-0.285618,-1.269093,0
49,0.790493,1.290917,3.824467,-0.000000,-2.085472,0
50,0.779116,0.873493,2.774762,-0.000000,-2.164679,0
51,0.291861,1.395692,0.113511,-0.000053,-1.143432,0
52,0.163288,0.694680,3.745078,-0.011317,-0.711789,0
53,0.555588,0.607647,0.044393,-0.557983,-1.711729,0
54,0.997682,1.849102,4.180970,-0.000000,-2.911418,0
55,0.346065,1.879446,1.958144,-0.001858,-1.222742,0
56,0.302169,1.477707,3.069301,-0.032161,-1.084612,0
57,0.773910,1.870976,1.509712,-0.124762,-0.659628,0
58,0.860822,1.335208,2.733582,-0.000000,-2.475570,0
59,0.181412,0.862208,1.679735,-0.002692,-0.800809,0
60,0.674472,0.722186,3.064343,-0.000000,-1.975761,0
61,0.520733,1.081888,2.652373,-0.302712,-1.621546,0
62,0.847413,1.761159,1.985087,-0.001044,-2.342517,0
63,0.907937,1.225235,4.633534,-0.000000,-2.596496,0
64,0.934951,1.524698,3.622724,-0.000000,-2.437644,0
65,0.153691,1.879147,1.367450,-0.000003,-0.863061,0
66,0.598835,0.730808,1.767678,-0.000028,-1.805609,0
