Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.405048,0.722722,1.721035,-0.987471,-2.220018,1
1,0.416679,0.821720,2.327635,-0.975051,-2.272125,1
2,0.493909,0.694764,0.849034,-0.996276,-1.567622,1
3,0.524297,1.467998,3.087773,-0.994964,-1.633518,1
4,0.557409,1.180009,1.560188,-0.663999,-3.229477,1
5,0.596656,0.860263,0.951133,-0.952610,-2.724889,1
6,0.613009,1.248497,2.120768,-0.994560,-1.852920,1
7,0.642603,1.929300,2.557179,-0.990864,-1.916838,1
8,0.715902,1.817256,2.129487,-0.663378,-3.670489,1
9,0.778093,1.746096,1.671235,-0.615314,-3.846513,1
10,0.793145,0.929599,0.219415,-0.884134,-2.953310,1
11,0.878315,0.923224,0.012620,-0.959741,-2.602978,1
12,0.962553,1.921726,1.088432,-0.536088,-4.756015,0
