NSGA-II_n_evals,NSGA-II_igde,NSGA-II_igde_sigma,RS__n_evals,RS__igde,RS__igde_sigma
250,0.25712383288876917,0.05278097602672326,250,0.19191156087711708,0.03396961995121891
500,0.23995604143921273,0.05568376369530925,500,0.1311558543297175,0.02057825997249502
750,0.23649733032097098,0.05637559272950056,750,0.10810704761562126,0.007910415955825157
1000,0.2347945812670575,0.057111592253879344,1000,0.09768568878414294,0.007628079969095705
1250,0.23353140594422217,0.05691871981503416,1250,0.08857363251128278,0.006311794255251889
1500,0.23284882534027912,0.056702496937021785,1500,0.08081816236480208,0.0051212550842546995
1750,0.23041697620401128,0.058337737995514866,1750,0.07500233653632807,0.004787027624903164
2000,0.22884660019492245,0.059389311661080635,2000,0.07133850952687362,0.003986160330157763
