NSGA-II_n_evals,NSGA-II_igde,NSGA-II_igde_sigma,RS__n_evals,RS__igde,RS__igde_sigma
250,0.2537466138698247,0.051426762232868926,250,0.18879257240574226,0.033029359336231405
500,0.23790814057834136,0.05425995024521334,500,0.1288169592947695,0.019889928190214855
750,0.23453547269166197,0.055345348233447694,750,0.10578442255508488,0.00825800620149155
1000,0.23279661119292777,0.05623356211767778,1000,0.09542552874160207,0.007495292886926959
1250,0.23158361085219953,0.05567625018251878,1250,0.08597002729255697,0.006334388137348281
1500,0.23089988316220517,0.055579568688799805,1500,0.0782186998014302,0.005068305470322591
1750,0.22924140967497858,0.05679313162679501,1750,0.0728148798389896,0.004484565365608524
2000,0.22742419032805486,0.05809462612373461,2000,0.0692200696340804,0.003749689108634245
