NSGA-II_n_evals,NSGA-II_igde,NSGA-II_igde_sigma,RS__n_evals,RS__igde,RS__igde_sigma
250,0.27825247954777194,0.06459980665848108,250,0.206722648627813,0.030214008147222884
500,0.26139461138172687,0.06832039393460283,500,0.14075973673403613,0.01763635745943666
750,0.2580857743207722,0.06897849309668254,750,0.11662276916087326,0.01154574664726137
1000,0.25664980899753076,0.06935633071237642,1000,0.10650343079226081,0.013477184292075025
1250,0.25578891228779754,0.06932743156162485,1250,0.09620896927797248,0.01231572256687449
1500,0.2554656046264821,0.06928207402492227,1500,0.08741342912281538,0.01045464381696327
1750,0.2536191963246435,0.07036708282656517,1750,0.08001104214545382,0.008311473265770189
2000,0.2530306710720893,0.07071745244274376,2000,0.07599851616158242,0.008011837503748719
