Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.449701,0.605052,0.976272,-0.646229,-1.445044
1,0.434492,0.603923,0.428253,-0.885189,-2.325010
2,0.337765,1.063896,4.784693,-0.704633,-1.152379
3,0.482130,1.007064,2.570944,-0.899394,-1.536462
4,0.532450,1.365373,2.878472,-0.961573,-1.663640
5,0.321730,0.864895,3.857932,-0.989510,-1.105519
6,0.742557,1.847315,2.103027,-0.991968,-2.081317
7,0.311052,0.864744,4.054227,-0.982232,-1.081832
8,0.542555,0.808921,1.112124,-0.986729,-2.493672
9,0.564644,1.820247,3.113556,-0.991277,-1.739099
10,0.619341,0.851035,0.929360,-0.937435,-1.865706
11,0.419728,1.987001,4.739254,-0.909132,-1.376138
12,0.667850,0.800652,0.043231,-0.972466,-2.842440
13,0.730197,1.841308,2.194055,-0.951469,-2.058995
14,0.503848,1.665660,3.340223,-0.977470,-1.570247
15,0.465305,1.959973,4.034139,-0.993848,-1.483535
16,0.313273,0.721156,3.089719,-0.986734,-1.085098
17,0.311651,0.801347,4.243348,-0.638167,-1.082599
18,0.266546,0.663616,3.927972,-0.988486,-0.969916
19,0.361587,0.719024,2.151634,-0.991670,-1.217876
20,0.743957,1.508543,1.905037,-0.637023,-2.082214
21,0.723573,1.993271,2.371111,-0.796758,-2.051182
22,0.544497,0.746518,0.136790,-0.657488,-2.556900
23,0.476401,1.578555,3.818243,-0.683420,-1.520289
24,0.333419,1.198220,4.982086,-0.985157,-1.137332
25,0.616209,0.874273,1.091046,-0.857993,-1.862698
26,0.253241,0.738612,4.875093,-0.847090,-0.912306
27,0.661908,1.525775,2.339819,-0.670212,-1.937524
28,0.757219,1.542657,1.852148,-0.790159,-2.086520
29,0.595335,0.965265,1.431929,-0.608223,-2.637906
30,0.445338,1.367256,3.273926,-0.930846,-2.645884
31,0.536873,1.851092,3.301483,-0.980158,-1.680985
32,0.379848,1.244347,4.259182,-0.980899,-1.261542
33,0.299887,0.917620,3.628959,-0.702420,-1.289457
34,0.820368,1.226548,1.029484,-0.734908,-2.259749
35,0.736414,1.536723,1.966943,-0.678012,-2.075610
36,0.744633,1.971702,2.269383,-0.831689,-2.082620
37,0.291639,0.547286,2.085822,-0.983138,-1.016175
38,0.614998,1.418710,2.516449,-0.693139,-1.858849
39,0.414359,0.916767,1.634085,-0.795766,-2.566155
40,0.418342,1.110752,3.309664,-0.975955,-1.375410
41,0.458401,1.389513,3.183073,-0.853165,-2.706653
42,0.359757,1.084485,4.296477,-0.898089,-1.211750
43,0.279195,0.550688,2.798857,-0.930233,-0.991191
44,0.399017,0.961204,3.129467,-0.989344,-1.314985
45,0.575174,0.869618,0.998331,-0.744226,-2.584329
46,0.553493,1.556807,3.068002,-0.899851,-1.705066
47,0.585587,1.362415,2.657114,-0.676905,-1.773529
48,0.582639,1.294734,2.348192,-0.993809,-1.772449
49,0.596561,1.369879,2.363273,-0.972185,-1.798857
50,0.312838,0.601589,0.106814,-0.743895,-1.440827
51,0.471098,1.210976,3.029076,-0.991874,-1.502705
52,0.380091,0.622540,0.713748,-0.977174,-2.322504
53,0.447674,0.800951,2.262799,-0.714687,-1.437340
54,0.407816,1.862235,4.730526,-0.930461,-1.349148
55,0.760102,0.963939,0.607462,-0.837837,-2.854622
56,0.343802,1.016887,3.338331,-0.822109,-1.840688
57,0.628324,1.559567,2.620151,-0.611772,-1.872116
58,0.483344,1.860170,3.892595,-0.970217,-1.540290
59,0.349106,1.331969,4.438132,-0.672888,-1.730751
60,0.529277,1.334112,2.770273,-0.980595,-1.651241
61,0.630630,1.552724,2.542525,-0.828541,-1.878451
62,0.376029,0.519562,0.542276,-0.982663,-1.259642
63,0.367116,1.431782,4.599963,-0.961007,-1.233279
64,0.506957,1.952555,3.582709,-0.992919,-1.576689
65,0.371096,1.029631,3.485806,-0.994682,-1.247868
66,0.585538,1.948745,3.018790,-0.986882,-1.773169
67,0.789096,1.764870,1.885811,-0.842855,-2.136945
68,0.578669,0.770363,0.341597,-0.978646,-2.685609
69,0.507938,1.793140,3.340101,-0.980234,-1.579016
70,0.746507,1.762500,2.070661,-0.928522,-2.082901
71,0.381937,0.974700,3.089827,-0.911645,-1.264542
72,0.457074,1.392001,3.398899,-0.997981,-1.472437
73,0.277788,0.932555,4.793411,-0.812619,-0.982421
74,0.553820,1.782905,3.084540,-0.969737,-1.705981
75,0.438486,0.788674,1.886602,-0.960888,-2.359861
76,0.788345,1.955938,1.969269,-0.993981,-2.135138
77,0.574735,1.621476,3.008546,-0.810465,-1.764162
78,0.968411,1.059380,0.208711,-0.727323,-2.580904
79,0.313090,0.632299,0.576930,-0.772236,-1.444648
80,0.350882,0.660640,0.118229,-0.626048,-1.898623
81,0.764218,1.964853,2.037537,-0.987259,-2.090534
82,0.410809,1.466210,4.339068,-0.873343,-1.360273
83,0.449962,0.719029,1.165189,-0.979607,-2.455822
84,0.369819,0.932823,3.351871,-0.997058,-1.243057
85,0.638955,0.691325,0.022121,-0.687297,-1.905469
86,0.539876,1.108667,2.328371,-0.933075,-1.683143
87,0.377444,1.667567,4.722381,-0.994388,-1.260545
88,0.482501,0.623055,0.373636,-0.998410,-1.537848
