Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.482501,0.623055,0.373636,-0.998410,-1.537848,1
1,0.542555,0.808921,1.112124,-0.986729,-2.493672,1
2,0.577799,1.150928,1.253348,-0.571081,-3.348620,0
3,0.578669,0.770363,0.341597,-0.978646,-2.685609,1
4,0.667850,0.800652,0.043231,-0.972466,-2.842440,1
5,0.713529,1.156302,0.444781,-0.554593,-3.805052,0
6,0.760102,0.963939,0.607462,-0.837837,-2.854622,1
7,0.786858,1.366613,0.748859,-0.509442,-4.028045,0
8,0.788345,1.955938,1.969269,-0.993981,-2.135138,1
9,0.935458,1.350223,0.012458,-0.468277,-4.741833,0
10,0.977642,1.673066,0.564178,-0.275286,-4.789281,0
