Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.701119,1.073527,0.022609,-0.265124,-3.772102,0
1,0.657096,1.347958,1.395163,-0.501645,-3.620615,0
2,0.683893,0.858110,0.488754,-0.979911,-2.853069,1
3,0.782050,1.041434,0.814579,-0.739406,-2.117159,1
4,0.888170,1.780428,1.851654,-0.000191,-2.489832,0
5,0.384136,1.975481,4.767137,-0.781179,-1.275641,1
6,0.483917,1.209684,0.795826,-0.181020,-1.540070,0
7,0.783058,1.559196,1.048796,-0.154232,-1.926406,0
8,0.926918,1.518295,2.953633,-0.000000,-2.478934,0
9,0.784069,1.795212,2.958446,-0.000000,-2.179534,0
10,0.336744,1.036474,2.691769,-0.265894,-0.186624,0
11,0.780402,0.864378,0.033039,-0.598553,-0.055149,0
12,0.245642,1.095541,4.054191,-0.256823,-0.905356,0
13,0.358943,1.173702,4.874119,-0.107182,-1.204106,0
14,0.354657,1.794539,3.220437,-0.079228,-1.211244,0
15,0.344566,1.878004,3.796100,-0.151355,-1.167849,0
16,0.641842,1.498025,2.810760,-0.006470,-1.906850,0
17,0.357432,1.609627,2.419829,-0.023335,-1.228819,0
18,0.933822,1.157557,2.599224,-0.000000,-2.477624,0
19,0.779434,1.375776,2.758838,-0.000000,-2.155567,0
20,0.512832,1.037491,1.759214,-0.402133,-0.016376,0
21,0.997159,1.556001,0.617483,-0.160701,-0.159314,0
22,0.437375,1.398565,2.334450,-0.214102,-0.121015,0
23,0.623934,1.507005,0.982107,-0.137966,-0.159721,0
24,0.275305,1.457834,3.850636,-0.064652,-1.009444,0
25,0.525782,0.559785,0.840186,-0.000689,-1.638724,0
26,0.323665,1.157789,0.679117,-0.002846,-1.166061,0
27,0.909790,1.528677,3.276650,-0.000000,-2.467316,0
28,0.687146,1.133777,3.766281,-0.000000,-1.991973,0
29,0.909077,1.261184,0.252369,-0.210437,-0.075522,0
30,0.519997,1.186896,4.895610,-0.000000,-1.606822,0
31,0.465406,1.126810,4.955206,-0.000000,-1.463272,0
32,0.237971,1.998256,0.005147,-0.000001,-1.114169,0
33,0.192816,1.964900,4.773244,-0.002759,-0.830002,0
34,0.244220,1.404066,2.447138,-0.001636,-0.986603,0
35,0.825147,0.775349,2.718093,-0.000000,-2.196526,0
36,0.636854,1.411368,0.687566,-0.133730,-0.038160,0
37,0.230593,1.578430,2.901436,-0.001160,-0.947461,0
38,0.212187,1.987475,4.067374,-0.001473,-0.897921,0
39,0.740661,1.161109,4.845694,-0.000000,-1.971407,0
40,0.701119,1.073527,0.022609,-0.265124,-3.772102,0
41,0.657096,1.347958,1.395163,-0.501645,-3.620615,0
42,0.683893,0.858110,0.488754,-0.979911,-2.853069,1
43,0.657096,1.347958,1.333263,-0.350713,-3.450039,0
44,0.782050,1.041434,0.814579,-0.739406,-2.117159,1
45,0.657096,1.347534,2.046813,-0.864651,-1.937134,1
46,0.637357,0.858110,0.489238,-0.736778,-2.808768,1
47,0.384136,1.975481,4.767137,-0.781179,-1.275641,1
48,0.384136,1.975481,4.808089,-0.846797,-1.271930,1
49,0.888170,1.780428,1.851654,-0.000191,-2.489832,0
50,0.988055,1.555523,2.420795,-0.000000,-2.753175,0
51,0.686398,1.330260,0.009534,-0.371034,-2.002979,0
52,0.379870,1.973243,4.767137,-0.678354,-1.086621,1
53,0.336744,1.036474,4.774551,-0.577950,-1.147958,0
54,0.784069,1.795212,2.958446,-0.000000,-2.179534,0
55,0.846584,1.375776,2.758838,-0.000000,-2.433022,0
56,0.926918,1.518295,2.953633,-0.000000,-2.478934,0
57,0.962900,1.078812,2.638251,-0.000000,-2.538172,0
58,0.939166,1.156108,2.599224,-0.000000,-2.489160,0
59,0.783058,1.559196,1.048796,-0.154232,-1.926406,0
60,0.437991,1.037491,1.750026,-0.263673,-1.762623,0
61,0.780402,0.864378,0.033039,-0.598553,-0.055149,0
62,0.780402,0.867588,0.033039,-0.607164,-0.046361,0
63,0.512832,1.037915,1.376612,-0.436260,-0.345386,0
64,0.249908,1.094024,4.054191,-0.315429,-0.907298,0
65,0.779434,1.375776,2.758838,-0.000000,-2.155567,0
66,0.933822,1.157557,2.599224,-0.000000,-2.477624,0
67,0.926918,1.518295,3.015534,-0.000000,-2.472361,0
68,0.641842,1.498025,2.810760,-0.006470,-1.906850,0
69,0.483917,1.209684,0.795826,-0.181020,-1.540070,0
70,0.773361,0.864378,0.033039,-0.586497,-0.045696,0
71,0.336744,1.036474,2.691769,-0.265894,-0.186624,0
72,0.245642,1.095541,4.054191,-0.256823,-0.905356,0
73,0.687146,1.133777,3.766281,-0.000000,-1.991973,0
74,0.909790,1.539298,3.276650,-0.000000,-2.467316,0
75,0.525782,0.559785,0.840186,-0.000689,-1.638724,0
76,0.358943,1.173702,4.874119,-0.107182,-1.204106,0
77,0.354657,1.794539,3.220437,-0.079228,-1.211244,0
78,0.344566,1.878004,3.796100,-0.151355,-1.167849,0
79,0.384136,1.997398,2.683881,-0.023668,-1.300805,0
80,0.701119,1.073527,0.022609,-0.265124,-3.772102,0
81,0.657096,1.347958,1.395163,-0.501645,-3.620615,0
82,0.683893,0.858110,0.488754,-0.979911,-2.853069,1
83,0.619027,1.555523,2.420795,-0.997791,-1.865511,1
84,0.657096,1.347958,1.333263,-0.350713,-3.450039,0
85,0.683893,0.864506,0.488754,-0.979143,-2.853069,1
86,0.408510,1.984637,4.767137,-0.993383,-1.351086,1
87,0.701119,1.083660,0.022609,-0.185981,-3.164783,0
88,0.782050,1.041434,0.814579,-0.739406,-2.117159,1
89,0.657096,1.347534,2.046813,-0.864651,-1.937134,1
90,0.637357,0.858110,0.489238,-0.736778,-2.808768,1
91,0.997143,1.285011,1.395163,-0.000000,-2.894552,0
92,0.384136,1.975481,4.808089,-0.846797,-1.271930,1
93,0.384136,1.973304,4.767137,-0.781277,-1.275641,1
94,0.637357,0.860251,0.451803,-0.631985,-2.808768,1
95,0.988055,1.555201,4.854702,-0.000000,-2.873457,0
