Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
1267,0.844897,0.915132,0.001947,-0.996748,-3.052948
1268,0.849140,0.926189,0.000822,-0.972467,-3.181399
1269,0.843234,0.926189,0.000762,-0.945441,-3.269091
1270,0.843234,0.926189,0.000364,-0.945441,-3.269091
1271,0.849140,0.926189,0.000834,-0.972467,-3.181399
1272,0.666104,1.075534,0.376605,-0.708712,-3.823027
1273,0.662272,1.076458,0.363147,-0.620586,-3.829721
1274,0.849140,0.926189,0.000189,-0.972467,-3.181399
1275,0.849123,0.926189,0.000202,-0.972467,-3.181399
1276,0.849140,0.919048,0.000834,-0.994720,-3.155322
1277,0.667730,0.834556,0.345068,-0.999796,-2.926841
1278,0.662186,1.075542,0.376676,-0.658953,-3.829680
1279,0.849140,0.931720,0.000783,-0.955921,-3.194931
1280,0.619027,1.559110,2.449837,-0.999987,-1.865511
1281,0.619027,1.559110,2.448857,-0.999987,-1.865511
1282,0.849140,0.926189,0.000761,-0.972467,-3.181399
1283,0.849409,0.931752,0.000756,-0.943551,-3.275049
1284,0.852309,0.938907,0.003454,-0.923329,-3.291767
1285,0.619027,1.559088,2.449825,-0.999986,-1.865511
1286,0.619027,1.559110,2.449825,-0.999987,-1.865511
1287,0.662341,1.077093,0.363147,-0.612122,-3.830736
1288,0.667751,1.075534,0.363012,-0.706334,-3.825224
1289,0.843234,0.926189,0.000804,-0.945441,-3.269091
1290,0.843234,0.926189,0.000786,-0.945441,-3.269091
1291,0.619027,1.559110,2.449825,-0.999987,-1.865511
1292,0.667730,0.834556,0.347597,-0.999796,-2.926841
1293,0.843234,0.926189,0.000632,-0.945441,-3.269091
1294,0.619027,1.559110,2.448870,-0.999987,-1.865511
1295,0.843234,0.926189,0.002097,-0.945441,-3.269091
1296,0.619027,1.559110,2.446576,-0.999987,-1.865511
1297,0.843234,0.926189,0.002087,-0.945441,-3.269091
1298,0.843234,0.926189,0.000813,-0.945441,-3.269091
1299,0.667751,1.075534,0.363012,-0.706334,-3.825224
1300,0.662381,1.077093,0.363147,-0.612072,-3.831212
1301,0.844897,0.915132,0.001947,-0.996748,-3.052948
1302,0.843234,0.926189,0.000762,-0.945441,-3.269091
1303,0.843234,0.926189,0.000364,-0.945441,-3.269091
1304,0.666104,1.075534,0.376605,-0.708712,-3.823027
1305,0.849140,0.919048,0.000834,-0.994720,-3.155322
1306,0.667730,0.834556,0.345068,-0.999796,-2.926841
1307,0.662186,1.075542,0.376676,-0.658953,-3.829680
1308,0.849140,0.931720,0.000783,-0.955921,-3.194931
1309,0.619027,1.559110,2.449837,-0.999987,-1.865511
1310,0.619027,1.559110,2.448857,-0.999987,-1.865511
1311,0.849409,0.931752,0.000756,-0.943551,-3.275049
1312,0.852309,0.938907,0.003454,-0.923329,-3.291767
1313,0.843418,0.926189,0.000762,-0.948662,-3.269082
1314,0.843234,0.926189,0.002086,-0.945441,-3.269091
1315,0.848956,0.926189,0.000804,-0.968040,-3.181416
1316,0.619027,1.559110,2.449838,-0.999987,-1.865511
1317,0.662272,1.076428,0.363011,-0.621028,-3.829721
1318,0.849106,0.925952,0.000822,-0.973204,-3.181399
1319,0.619027,1.559088,2.449825,-0.999986,-1.865511
1320,0.662272,1.076458,0.363147,-0.620586,-3.829721
1321,0.666104,1.076294,0.376605,-0.698099,-3.823027
1322,0.849140,0.926189,0.000804,-0.972467,-3.181399
1323,0.619027,1.559110,2.449825,-0.999987,-1.865511
1324,0.662341,1.077093,0.363147,-0.612122,-3.830736
1325,0.667751,1.075534,0.363012,-0.706334,-3.825224
1326,0.843234,0.926189,0.000804,-0.945441,-3.269091
1327,0.843234,0.926189,0.000786,-0.945441,-3.269091
1328,0.619027,1.559110,2.449825,-0.999987,-1.865511
1329,0.667730,0.834556,0.347597,-0.999796,-2.926841
1330,0.843234,0.926189,0.000632,-0.945441,-3.269091
1331,0.619027,1.559110,2.448870,-0.999987,-1.865511
1332,0.843234,0.926189,0.002097,-0.945441,-3.269091
1333,0.619027,1.559110,2.446576,-0.999987,-1.865511
1334,0.843234,0.926189,0.002087,-0.945441,-3.269091
1335,0.843234,0.926189,0.000813,-0.945441,-3.269091
1336,0.667751,1.075534,0.363012,-0.706334,-3.825224
1337,0.662381,1.077093,0.363147,-0.612072,-3.831212
1338,0.844897,0.915132,0.001947,-0.996748,-3.052948
1339,0.843234,0.926189,0.000762,-0.945441,-3.269091
1340,0.843234,0.926189,0.000364,-0.945441,-3.269091
1341,0.666104,1.075534,0.376605,-0.708712,-3.823027
1342,0.849140,0.919048,0.000834,-0.994720,-3.155322
1343,0.667730,0.834556,0.345068,-0.999796,-2.926841
1344,0.662186,1.075542,0.376676,-0.658953,-3.829680
1345,0.619027,1.559110,2.449837,-0.999987,-1.865511
1346,0.619027,1.559110,2.448857,-0.999987,-1.865511
1347,0.849409,0.931752,0.000756,-0.943551,-3.275049
1348,0.852309,0.938907,0.003454,-0.923329,-3.291767
1349,0.843418,0.926189,0.000762,-0.948662,-3.269082
1350,0.843234,0.926189,0.002086,-0.945441,-3.269091
1351,0.848956,0.926189,0.000804,-0.968040,-3.181416
1352,0.619027,1.559110,2.449838,-0.999987,-1.865511
1353,0.662272,1.076428,0.363011,-0.621028,-3.829721
1354,0.849106,0.925952,0.000822,-0.973204,-3.181399
1355,0.843234,0.926189,0.000255,-0.945441,-3.269091
1356,0.662341,1.077093,0.366624,-0.612122,-3.830736
1357,0.849141,0.931609,0.000823,-0.956580,-3.194931
1358,0.849140,0.922777,0.000783,-0.985256,-3.169723
1359,0.619027,1.559088,2.449825,-0.999986,-1.865511
