Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.582249,0.915769,0.057351,-0.697772,-3.444701,1
1,0.610373,1.513522,2.527770,-0.999840,-1.843469,1
2,0.619005,1.502113,2.119718,-0.768116,-3.361228,1
3,0.658639,0.878115,0.799310,-0.986484,-2.661106,1
4,0.671529,1.683547,2.323768,-0.995319,-1.960160,1
5,0.692093,1.639643,1.944871,-0.645981,-3.694547,1
6,0.775395,1.141716,0.003829,-0.479826,-4.045762,0
7,0.828548,1.683334,1.233578,-0.454514,-4.117475,0
8,0.981224,1.796296,0.761241,-0.276208,-4.722926,0
