Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.938687,1.877354,1.494420,-0.078528,-2.694222,0
1,0.416703,0.605814,1.377398,-0.568663,-1.374862,0
2,0.780019,1.399400,1.892021,-0.019978,-2.111726,0
3,0.436824,1.576180,0.238041,-0.000607,-1.469301,0
4,0.114677,1.661637,2.959325,-0.000021,-0.680566,0
5,0.173752,0.541646,4.668464,-0.000192,-0.717046,0
6,0.111589,1.519130,3.688454,-0.000074,-0.625224,0
7,0.576231,0.673831,2.355563,-0.000000,-1.769038,0
8,0.958400,0.986485,0.516880,-0.001477,-2.763191,0
9,0.339065,1.153214,0.617875,-0.004298,-1.187991,0
10,0.201906,1.025716,4.645175,-0.072667,-0.809984,0
11,0.574331,0.511186,0.144090,-0.000617,-1.763859,0
12,0.920695,1.287774,3.205961,-0.000000,-2.459428,0
13,0.237229,1.907341,2.368569,-0.000183,-0.996121,0
14,0.524082,0.672565,4.411662,-0.000000,-1.535668,0
15,0.586009,1.596518,2.062085,-0.174366,-0.110618,0
16,0.422618,1.464050,4.971319,-0.000144,-1.372376,0
17,0.480629,1.338120,3.866580,-0.009303,-1.517915,0
18,0.434069,0.529183,1.879380,-0.000057,-1.399314,0
19,0.128708,1.654481,0.204409,-0.000000,-0.863295,0
20,0.547053,0.698437,2.961254,-0.000000,-1.671023,0
21,0.435340,1.423117,1.004484,-0.016112,-1.429332,0
22,0.800252,1.067603,4.304571,-0.000000,-2.092921,0
23,0.965006,1.038731,1.187921,-0.000000,-2.785797,0
24,0.590862,1.996368,3.309797,-0.336943,-1.779408,0
25,0.577772,0.773218,1.736324,-0.002552,-1.771842,0
26,0.611720,1.992951,3.847182,-0.000001,-1.849066,0
27,0.227406,1.618301,4.675148,-0.023089,-0.896836,0
28,0.285995,1.614183,3.892084,-0.051607,-1.043798,0
29,0.470834,1.825726,1.186137,-0.006140,-1.527397,0
30,0.431027,1.015701,0.430921,-0.189632,-1.394548,0
31,0.475501,1.497328,3.790457,-0.453370,-1.517373,0
32,0.630426,0.786345,2.260263,-0.000000,-1.868695,0
33,0.402236,1.558428,2.693952,-0.269038,-1.339407,0
34,0.220649,0.522024,0.134856,-0.174926,-0.829047,0
35,0.689895,0.973826,4.212603,-0.000000,-1.891228,0
36,0.126021,1.020037,2.286589,-0.000168,-0.663493,0
37,0.992032,1.865892,1.354714,-0.034311,-2.892982,0
38,0.672613,1.023857,0.612315,-0.328926,-0.153160,0
39,0.401960,0.980610,2.600640,-0.518597,-0.027037,0
40,0.617061,0.509475,1.024556,-0.000000,-1.859588,0
41,0.670517,1.147947,2.817521,-0.000000,-1.961090,0
42,0.414983,1.775244,0.715054,-0.000559,-1.402122,0
43,0.238163,0.709640,4.539353,-0.437597,-0.903240,0
44,0.888120,1.932911,4.176095,-0.000000,-2.369608,0
45,0.822009,1.289174,3.919155,-0.000000,-2.163543,0
46,0.333151,1.954113,0.409134,-0.000024,-1.255778,0
47,0.898435,1.767638,2.004382,-0.000002,-2.509524,0
48,0.771362,0.604690,3.861059,-0.000000,-2.075065,0
49,0.475363,1.589998,3.868966,-0.597784,-1.517208,0
50,0.721620,1.988477,4.877594,-0.000000,-1.949605,0
51,0.188135,1.664722,1.261073,-0.000011,-0.922329,0
52,0.556222,1.674933,1.683514,-0.213867,-0.058206,0
53,0.614972,1.744483,2.952914,-0.337206,-1.858849,0
54,0.816676,1.866737,2.858015,-0.000000,-2.271251,0
55,0.181087,1.397938,3.141042,-0.000588,-0.829260,0
56,0.832201,1.232798,1.944992,-0.000000,-2.274842,0
57,0.370559,1.216088,3.624984,-0.516938,-1.724917,0
58,0.476443,0.621441,1.129247,-0.183048,-1.520334,0
59,0.920804,0.540645,4.856940,-0.000000,-2.639161,0
60,0.749366,1.923807,1.721723,-0.138308,-0.719855,0
61,0.258598,0.911551,0.422238,-0.002486,-1.002260,0
62,0.790251,0.521547,3.691635,-0.000000,-2.092959,0
63,0.788373,0.650472,1.247344,-0.000000,-2.132944,0
64,0.865097,1.638694,2.602413,-0.000000,-2.360223,0
65,0.373779,1.653349,2.149118,-0.015480,-1.282703,0
66,0.645109,0.571870,2.938730,-0.000000,-1.919847,0
67,0.892830,1.906510,3.262515,-0.000000,-2.502697,0
68,0.709519,1.615909,2.726610,-0.000112,-2.043461,0
69,0.507583,0.986848,2.246511,-0.942143,-1.578118,1
70,0.958680,1.542953,2.755253,-0.000000,-2.557724,0
71,0.995893,0.551987,4.378218,-0.000000,-2.905687,0
72,0.110253,1.932961,1.280681,-0.000001,-0.781874,0
73,0.321571,0.973411,0.601601,-0.016367,-1.149545,0
74,0.615030,1.596161,3.306659,-0.000053,-1.859092,0
75,0.353319,1.888101,1.537782,-0.000902,-1.264925,0
76,0.797504,0.883105,3.364109,-0.000000,-2.106899,0
77,0.454671,1.819430,4.601756,-0.007802,-1.467561,0
78,0.919098,1.941508,4.226105,-0.000000,-2.404958,0
79,0.247182,0.746249,4.500571,-0.506082,-0.262973,0
80,0.268583,0.606955,2.308090,-0.428325,-0.026069,0
81,0.507050,0.833757,0.353543,-0.398816,-0.209550,0
82,0.597579,1.023506,4.750506,-0.000000,-1.759265,0
83,0.323345,1.082148,0.607365,-0.004917,-1.167951,0
84,0.911296,1.999459,4.866293,-0.000000,-2.607592,0
85,0.852375,0.957439,4.923319,-0.000000,-2.411547,0
86,0.110200,1.235196,1.157462,-0.000006,-0.716775,0
87,0.321711,0.644646,3.106254,-0.674111,-1.106511,1
88,0.218890,1.335242,2.925550,-0.002232,-0.917236,0
89,0.329291,1.881987,3.307709,-0.028717,-1.162859,0
90,0.553193,1.513714,2.004860,-0.164502,-0.098590,0
91,0.255996,1.346728,1.248052,-0.000290,-1.027319,0
92,0.822636,1.677575,0.584695,-0.076094,-0.011029,0
93,0.204685,1.620733,2.002799,-0.000080,-0.921299,0
94,0.120560,1.033276,2.057608,-0.000106,-0.647668,0
95,0.852986,1.739530,3.370446,-0.000000,-2.407887,0
96,0.403910,1.502667,1.252058,-0.008239,-1.371698,0
97,0.713317,0.563040,4.133871,-0.000000,-1.936228,0
98,0.718413,1.992561,4.675678,-0.000000,-1.952514,0
99,0.474054,0.924771,0.497873,-0.207939,-0.027120,0
100,0.238463,1.579272,0.395715,-0.000010,-1.041693,0
101,0.124023,0.533920,2.107604,-0.001703,-0.620193,0
102,0.835057,1.496292,3.422230,-0.000000,-2.253961,0
103,0.479465,1.957283,3.360191,-0.261858,-0.050144,0
104,0.427991,1.423005,3.650282,-0.622741,-0.425273,1
105,0.862314,1.264314,4.311974,-0.000000,-2.306987,0
106,0.103226,0.778418,1.497065,-0.000228,-0.558978,0
107,0.913062,0.878241,4.886592,-0.000000,-2.613461,0
108,0.150200,0.820222,3.290094,-0.005824,-0.663561,0
109,0.865244,1.990563,4.335169,-0.000000,-2.313740,0
110,0.941617,1.168415,3.622222,-0.000000,-2.461021,0
111,0.266513,0.630862,0.265171,-0.569674,-0.965518,0
112,0.523771,0.698230,2.911005,-0.000000,-1.623465,0
113,0.593111,1.984703,3.602237,-0.000520,-1.794222,0
114,0.990715,0.551229,0.736020,-0.000000,-2.884277,0
115,0.497731,1.818542,3.586712,-0.980110,-1.569654,1
116,0.873460,1.761706,0.525252,-0.050391,-0.085446,0
117,0.706120,1.430656,1.748192,-0.337212,-0.089503,0
118,0.897363,0.533759,4.550509,-0.000000,-2.561295,0
119,0.840784,1.854028,1.621785,-0.915731,-2.333982,1
