Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.507583,0.986848,2.246511,-0.942143,-1.578118
1,0.321711,0.644646,3.106254,-0.674111,-1.106511
2,0.427991,1.423005,3.650282,-0.622741,-0.425273
3,0.497731,1.818542,3.586712,-0.980110,-1.569654
4,0.840784,1.854028,1.621785,-0.915731,-2.333982
5,0.310923,1.220664,4.974963,-0.910737,-1.080495
6,0.359941,1.338688,4.540749,-0.995126,-1.212571
7,0.569423,1.941487,3.190584,-0.987648,-1.750775
8,0.377234,0.788132,2.840164,-0.940509,-1.259759
9,0.523630,1.095970,2.534991,-0.642413,-1.631440
10,0.599388,1.904025,3.098064,-0.814918,-1.807092
11,0.487881,0.641772,0.733204,-0.724977,-1.551225
12,0.338909,0.534521,1.832430,-0.607682,-1.152838
13,0.248998,0.622308,4.264249,-0.622959,-0.914766
14,0.815198,1.583725,1.493604,-0.970364,-2.239922
15,0.313319,0.866134,2.959906,-0.794412,-1.450429
16,0.582249,0.915769,0.057351,-0.697772,-3.444701
17,0.466691,0.637017,0.839270,-0.972078,-1.486150
18,0.402662,1.124894,3.403471,-0.922387,-1.331662
19,0.477389,1.182526,2.694594,-0.934389,-1.523340
20,0.658639,0.878115,0.799310,-0.986484,-2.661106
21,0.469665,1.916330,3.970511,-0.999199,-1.498234
22,0.298498,1.136298,4.858034,-0.674633,-1.113154
23,0.478453,1.094309,2.829736,-0.988477,-1.526406
24,0.873961,1.916069,1.565161,-0.723003,-2.455332
25,0.473567,0.717671,1.470073,-0.771900,-1.511417
26,0.351562,0.681917,2.099569,-0.982956,-1.184352
27,0.739623,1.205163,1.449019,-0.642824,-2.080109
28,0.421446,1.446022,3.750591,-0.816702,-2.457874
29,0.548606,0.946739,1.816800,-0.910434,-2.526037
30,0.663333,1.383714,2.032512,-0.945635,-1.937321
31,0.692093,1.639643,1.944871,-0.645981,-3.694547
32,0.419342,1.359097,4.165443,-0.751729,-1.375627
33,0.463676,1.992402,4.214500,-0.984326,-1.479229
34,0.561696,1.648355,2.780741,-0.602665,-2.978488
35,0.473677,1.388601,3.176624,-0.895735,-1.512334
36,0.471547,0.946271,2.248174,-0.982087,-1.504385
37,0.490787,1.093286,2.481175,-0.998943,-1.558693
38,0.529122,1.315945,2.942523,-0.649836,-1.650402
39,0.646282,1.759404,2.542240,-0.985568,-1.926834
40,0.464101,1.900158,4.145935,-0.994371,-1.479303
41,0.507253,1.309083,2.813007,-0.988148,-1.577463
42,0.799578,1.165937,1.055588,-0.649665,-2.177136
