Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.372063,0.605045,0.620330,-0.999722,-2.326392,1
1,0.372063,0.605045,0.625299,-0.999722,-2.326392,1
2,0.372063,0.605045,0.626412,-0.999722,-2.326392,1
3,0.372063,0.605045,0.627113,-0.999722,-2.326392,1
4,0.372063,0.605045,0.627422,-0.999722,-2.326392,1
5,0.372063,0.605045,0.627429,-0.999722,-2.326392,1
6,0.373725,0.602195,0.528521,-0.997113,-2.346783,1
7,0.373729,0.602195,0.521010,-0.996774,-2.346906,1
8,0.373729,0.602195,0.528521,-0.996774,-2.346906,1
9,0.373782,0.602195,0.528521,-0.999199,-2.346579,1
10,0.407138,0.632097,0.577145,-0.994406,-2.435815,1
11,0.419280,0.635652,0.483317,-0.995740,-2.390685,1
12,0.419280,0.635652,0.483542,-0.995740,-2.390685,1
13,0.419280,0.635652,0.484173,-0.995740,-2.390685,1
14,0.423497,0.628999,0.487516,-0.999390,-2.346202,1
15,0.459632,1.340288,3.088176,-0.969071,-2.753078,1
16,0.461066,1.329882,3.048510,-0.968222,-2.758171,1
17,0.465399,1.349207,3.048510,-0.944526,-2.758353,1
18,0.469972,1.349139,3.088202,-0.987300,-2.598411,1
19,0.470001,1.341144,3.088176,-0.990800,-2.484618,1
20,0.949630,1.647918,0.710629,-0.604622,-4.728162,1
21,0.957450,1.651041,0.683748,-0.580961,-4.773166,0
22,0.957628,1.652980,0.685897,-0.567495,-4.773567,0
23,0.997570,1.753323,0.710630,-0.534811,-4.968211,0
24,0.998888,1.747926,0.710630,-0.529613,-4.995981,0
25,0.998888,1.747926,0.713406,-0.529613,-4.995981,0
