Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.756363,0.536273,0.405645,-0.000000,-2.086439,0
1,0.437759,1.957103,0.656495,-0.000383,-1.478164,0
2,0.847359,0.879385,3.037434,-0.000000,-2.263242,0
3,0.283441,1.630688,1.971591,-0.000698,-1.075290,0
4,0.309157,0.847344,1.388651,-0.349406,-1.081537,0
5,0.876812,0.914299,1.720045,-0.000000,-2.426898,0
6,0.459601,0.864125,1.857727,-0.472425,-2.032030,0
7,0.362916,1.893449,2.451871,-0.011010,-1.268326,0
8,0.941840,1.775642,4.430471,-0.000000,-2.710764,0
9,0.243144,1.330035,4.968565,-0.253860,-0.902739,0
10,0.626158,0.796353,2.922473,-0.000000,-1.857783,0
11,0.184104,0.747458,4.827034,-0.029516,-0.736859,0
12,0.502146,1.276665,1.846163,-0.193179,-0.035913,0
13,0.906472,0.889419,2.142664,-0.000000,-2.483143,0
14,0.407332,1.735057,0.295456,-0.000183,-1.407493,0
15,0.613026,0.948312,0.036880,-0.503033,-1.451365,0
16,0.728617,0.577343,3.814948,-0.000000,-2.042002,0
17,0.564557,0.985314,3.963348,-0.000000,-1.723722,0
18,0.907754,1.199911,2.368818,-0.000000,-2.483339,0
19,0.304602,1.980085,3.801629,-0.029406,-1.082690,0
20,0.734343,1.996508,4.599554,-0.000000,-1.973231,0
21,0.871410,0.563843,1.758383,-0.000000,-2.411942,0
22,0.245888,1.567776,1.457231,-0.000122,-1.006789,0
23,0.399845,1.350654,2.201816,-0.254680,-1.331948,0
24,0.685474,1.900799,2.830019,-0.006264,-2.004106,0
25,0.907510,0.929176,1.195854,-0.000000,-2.583962,0
26,0.637077,0.945594,1.448105,-0.347933,-1.899882,0
27,0.447822,1.996136,3.723276,-0.292327,-0.067049,0
28,0.564459,0.534840,2.654075,-0.000000,-1.724767,0
29,0.816902,1.830712,2.116333,-0.006454,-2.231581,0
30,0.167411,0.919808,1.196058,-0.000385,-0.788179,0
31,0.825772,1.564870,4.032448,-0.000000,-2.173215,0
32,0.384819,1.476654,1.662695,-0.016564,-1.305004,0
33,0.883853,1.318751,3.027804,-0.000000,-2.504292,0
34,0.775375,1.374613,0.970411,-0.477503,-1.063085,0
