Attribute,Value
Number Critical Scenarios,81
Number Critical Scenarios (duplicate free),81
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,15
Number Best Scenarios (duplicate free),15
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.73
Ratio Best Critical/Best Scenarios (duplicate free),0.73
