Attribute,Value
Problem,Demo_AVP_Metrics_Paper
Algorithm,RS
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,"('Critical adapted distance', 'Velocity at critical distance')"
Critical function,CriticalAdasAdaptedDistanceVelocity
Search time,16400.52 sec
population_size,2000
maximal_execution_time,
