Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.356204,1.407875,4.798224,-0.985871,-1.200136,1
1,0.775481,1.791942,1.749695,-0.569052,-3.798244,0
2,0.383926,1.127114,3.356529,-0.570725,-0.185981,0
3,0.563266,0.917665,1.316880,-0.478843,-2.551580,0
4,0.950599,1.236681,4.538860,-0.000000,-2.739339,0
5,0.353746,0.693963,0.712150,-0.492454,-0.080490,0
6,0.855510,1.265734,2.634205,-0.000000,-2.456114,0
7,0.250102,0.756228,2.946051,-0.311030,-0.106265,0
8,0.870328,1.574137,1.384768,-0.303243,-2.441104,0
9,0.953744,1.382494,2.663754,-0.000000,-2.539093,0
10,0.848646,1.077976,0.996693,-0.007532,-2.362028,0
11,0.544585,1.699285,2.541372,-0.197864,-0.207791,0
12,0.794549,0.929389,0.648350,-0.182232,-2.157198,0
13,0.420525,1.937792,3.412626,-0.220182,-0.118741,0
14,0.951140,1.048676,2.500306,-0.000000,-2.513146,0
15,0.845023,1.976925,3.896250,-0.000000,-2.251580,0
16,0.814394,1.661831,3.712889,-0.000000,-2.174014,0
17,0.733908,1.558930,3.392440,-0.000000,-2.084584,0
18,0.661726,0.987492,1.596714,-0.060754,-1.937462,0
19,0.437401,1.260552,4.041109,-0.097836,-1.408806,0
20,0.413863,1.587455,2.834679,-0.208751,-0.042454,0
21,0.900128,0.788712,2.552344,-0.000000,-2.508521,0
22,0.675839,1.002309,3.241981,-0.000000,-1.979820,0
23,0.538577,1.677968,3.576430,-0.026798,-1.681579,0
24,0.356526,0.719768,3.517585,-0.034743,-1.194392,0
25,0.847975,0.778058,4.555634,-0.000000,-2.259334,0
26,0.810649,0.671547,3.495810,-0.000000,-2.135007,0
27,0.619286,0.859120,4.589409,-0.000000,-1.788286,0
28,0.430463,1.179488,0.328058,-0.018376,-1.411910,0
29,0.538696,1.796705,4.775905,-0.000000,-1.672955,0
30,0.501871,1.796257,4.797698,-0.000000,-1.576767,0
31,0.203715,1.381292,4.851354,-0.026263,-0.839034,0
32,0.250194,1.936251,0.098676,-0.000002,-1.122962,0
33,0.197133,1.532420,2.737881,-0.000347,-0.868152,0
34,0.535582,0.742633,2.942247,-0.000000,-1.660111,0
35,0.169012,1.553439,4.834789,-0.002856,-0.741618,0
36,0.160466,1.382816,0.860911,-0.000008,-0.855224,0
37,0.153568,1.596929,4.051141,-0.000421,-0.727899,0
38,0.123973,0.686377,0.757644,-0.000648,-0.636385,0
39,0.110703,1.596833,3.895887,-0.000076,-0.623879,0
40,0.775481,1.791942,1.749695,-0.569052,-3.798244,0
41,0.775481,1.832045,1.841512,-0.989274,-2.104186,1
42,0.563266,0.917665,1.316880,-0.478843,-2.551580,0
43,0.775647,1.791942,1.699748,-0.410375,-3.470434,0
44,0.356204,1.407875,4.798224,-0.985871,-1.200136,1
45,0.353746,0.760177,1.070917,-0.446642,-1.906998,0
46,0.870328,1.574137,1.384768,-0.303243,-2.441104,0
47,0.954626,1.077976,0.996693,-0.000008,-2.749464,0
48,0.356204,1.407875,4.671377,-0.925378,-1.199521,1
49,0.794549,0.956866,0.663950,-0.298865,-2.157198,0
50,0.870090,1.880384,1.749695,-0.056775,-2.440531,0
51,0.950599,1.236681,4.538860,-0.000000,-2.739339,0
52,0.855510,1.265734,2.634205,-0.000000,-2.456114,0
53,0.953744,1.382494,2.663754,-0.000000,-2.539093,0
54,0.950599,1.944220,4.582527,-0.000000,-2.739339,0
55,0.383926,1.127114,3.356529,-0.570725,-0.185981,0
56,0.544585,1.699285,2.541372,-0.197864,-0.207791,0
57,0.794549,0.929389,0.648350,-0.182232,-2.157198,0
58,0.848646,1.077976,0.996693,-0.007532,-2.362028,0
59,0.884960,1.550979,2.552344,-0.000000,-2.413567,0
60,0.845160,1.048676,2.500306,-0.000000,-2.427810,0
61,0.951140,1.048676,2.500306,-0.000000,-2.513146,0
62,0.353746,0.693963,0.712150,-0.492454,-0.080490,0
63,0.420525,1.229704,3.368959,-0.547554,-0.050961,0
64,0.353360,0.693963,0.669838,-0.496565,-0.067135,0
65,0.254654,1.015205,4.804250,-0.318453,-0.155952,0
66,0.279471,0.756228,2.946051,-0.371457,-0.132216,0
67,0.562677,0.906455,1.138889,-0.389396,-0.080972,0
68,0.212307,0.770154,2.737881,-0.113329,-0.820481,0
69,0.656441,0.987492,1.578273,-0.098879,-1.937731,0
70,0.733908,1.558930,3.392440,-0.000000,-2.084584,0
71,0.661726,0.987492,1.833603,-0.003029,-1.944307,0
72,0.845023,1.976925,3.896250,-0.000000,-2.251580,0
73,0.814394,1.661831,3.712889,-0.000000,-2.174014,0
74,0.802728,1.940314,3.946197,-0.000000,-2.132731,0
75,0.900128,0.788712,2.552344,-0.000000,-2.508521,0
