Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.548458,0.916759,1.737038,-0.997939,-2.432518,1
1,0.548460,0.916759,1.737024,-0.997939,-2.432518,1
2,0.548460,0.916759,1.737038,-0.997939,-2.432518,1
3,0.548460,0.916759,1.737432,-0.997939,-2.432518,1
4,0.568814,0.936543,0.320448,-0.798472,-3.408634,1
5,0.568814,0.936543,0.327043,-0.798472,-3.408634,1
6,0.568814,0.936543,0.327057,-0.798472,-3.408634,1
7,0.568814,0.936543,0.329745,-0.798472,-3.408634,1
8,0.775030,0.923581,0.440027,-0.996087,-2.662709,1
9,0.775107,0.921705,0.440027,-0.996474,-2.662691,1
10,0.775107,0.921705,0.443338,-0.996474,-2.662691,1
11,0.775284,0.922293,0.443338,-0.996906,-2.662606,1
12,0.788325,1.794061,1.753611,-0.999996,-2.135138,1
13,0.788325,1.794061,1.757083,-0.999996,-2.135138,1
14,0.788325,1.794061,1.757491,-0.999996,-2.135138,1
15,0.788325,1.794061,1.757956,-0.999996,-2.135138,1
16,0.788565,1.789766,1.837017,-0.999957,-2.135745,1
17,0.788565,1.789766,1.837482,-0.999957,-2.135745,1
18,0.851054,0.927007,0.023661,-0.982006,-3.155134,1
19,0.854036,0.929551,0.028971,-0.988094,-3.154995,1
20,0.854558,1.550352,0.920575,-0.711574,-4.352918,1
21,0.855469,1.552108,0.920575,-0.680862,-4.357289,1
22,0.858439,1.556558,0.904034,-0.679886,-4.361246,1
23,0.936489,1.553125,0.579756,-0.631986,-4.694856,1
24,0.958034,1.549819,0.481848,-0.612995,-4.799035,1
25,0.958919,1.549819,0.481848,-0.605290,-4.800729,1
26,0.963209,1.556400,0.469537,-0.564560,-4.833589,0
27,0.977420,1.549819,0.318826,-0.272060,-4.847008,0
