Attribute,Value
Number Critical Scenarios,1626
Number Critical Scenarios (duplicate free),244
Number All Scenarios,2000
Number All Scenarios (duplicate free),382
Number Best Critical Scenarios,26
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,29
Number Best Scenarios (duplicate free),28
Ratio Critical/All scenarios,0.81
Ratio Critical/All scenarios (duplicate free),0.64
Ratio Best Critical/Best Scenarios,0.90
Ratio Best Critical/Best Scenarios (duplicate free),0.93
