NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,RS__n_evals,RS__cid,RS__cid_sigma
250,0.25165729176596974,0.052001766601036586,250,0.18954557255905363,0.034678213814078075
500,0.23515160348189887,0.05493459804881307,500,0.12907951541550566,0.02051507791828356
750,0.23159800456168397,0.055813919728034,750,0.1064844515972619,0.008033542222482587
1000,0.22985690740153103,0.056608320717473376,1000,0.0960792623052416,0.008042695489388452
1250,0.2286184951414422,0.056309478700274175,1250,0.0865999480232946,0.006619810651416527
1500,0.22788086983366443,0.056077253076921164,1500,0.07909839252202971,0.005094605767885507
1750,0.2256823626619021,0.057422180301057,1750,0.07331188894035628,0.004534328044011678
2000,0.2238911088969216,0.05858946427896596,2000,0.06962476268674574,0.0036559653808657224
