Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.493722,0.826859,0.151756,-0.431530,-0.521337,0
1,0.195696,1.691175,2.288047,-0.000080,-0.912321,0
2,0.458357,1.976059,3.262424,-0.207147,-0.209436,0
3,0.860015,1.776786,4.235422,-0.000000,-2.301365,0
4,0.544206,1.407138,1.896994,-0.161473,-0.125168,0
5,0.397166,1.582434,4.095141,-0.380098,-0.551273,0
6,0.296472,1.135865,2.608459,-0.095037,-1.068371,0
7,0.920565,1.928377,3.422480,-0.000000,-2.441330,0
8,0.666827,0.718549,3.086202,-0.000000,-1.957085,0
9,0.744453,1.486241,0.058507,-0.283821,-2.082283,0
10,0.997304,0.836609,1.573051,-0.000000,-2.842804,0
11,0.172077,0.571605,2.499003,-0.017038,-0.715956,0
12,0.505397,0.579509,1.034257,-0.002926,-1.572058,0
13,0.660138,1.845885,4.931152,-0.000000,-1.850622,0
14,0.764714,0.892631,2.981531,-0.000000,-2.090781,0
15,0.420896,1.995764,3.543796,-0.218805,-0.096056,0
16,0.637737,0.762284,1.419345,-0.000341,-1.897960,0
17,0.876249,0.636244,4.530020,-0.000000,-2.491216,0
18,0.682754,1.144472,0.022688,-0.118247,-0.023757,0
19,0.894167,1.173513,0.811238,-0.105903,-2.533478,0
20,0.862010,1.056307,3.256339,-0.000000,-2.318207,0
21,0.228244,0.955043,2.536793,-0.030622,-0.886515,0
22,0.769025,1.879197,1.435149,-0.118996,-0.071187,0
23,0.380841,1.129036,4.192119,-0.599197,-1.262030,0
24,0.877540,1.159624,4.991292,-0.000000,-2.495190,0
25,0.479135,1.449373,3.289716,-0.991792,-1.528677,1
26,0.550462,1.172625,2.937248,-0.012869,-1.694480,0
27,0.973038,1.889457,4.011563,-0.000000,-2.559407,0
28,0.191723,1.459578,4.110874,-0.003506,-0.834479,0
29,0.720918,1.374810,3.712917,-0.000000,-2.040657,0
30,0.944830,0.736713,2.503051,-0.000000,-2.487793,0
31,0.212001,0.862533,3.797949,-0.114081,-0.821168,0
32,0.791296,1.237033,1.877088,-0.000104,-2.140077,0
33,0.554615,1.721381,2.770847,-0.271967,-1.054560,0
34,0.368360,0.999050,2.630382,-0.458417,-2.073915,0
35,0.311463,1.904283,0.924476,-0.000063,-1.194235,0
36,0.686124,1.498677,2.064003,-0.369148,-0.155672,0
37,0.843918,1.502076,0.317266,-0.064595,-0.100352,0
38,0.819838,0.612588,0.163673,-0.000000,-2.250560,0
39,0.781563,0.956228,1.504010,-0.000011,-2.115321,0
40,0.205039,1.786408,3.462100,-0.000687,-0.897094,0
41,0.162119,0.734344,2.297667,-0.010912,-0.711192,0
42,0.832923,1.229178,2.831989,-0.000000,-2.379378,0
43,0.967811,0.722885,0.499533,-0.000000,-2.796304,0
44,0.479176,0.900361,2.960673,-0.005278,-1.520091,0
45,0.516149,1.925065,0.828157,-0.003477,-1.633976,0
46,0.819478,1.025695,1.650662,-0.000000,-2.234909,0
47,0.631456,0.601309,3.220418,-0.000000,-1.818941,0
48,0.806606,1.054634,4.093653,-0.000000,-2.112866,0
49,0.257564,0.667326,3.371495,-0.476944,-0.087765,0
50,0.919499,0.764744,1.312934,-0.000000,-2.577763,0
51,0.381311,1.100331,3.884050,-0.979689,-1.262678,1
52,0.379793,1.518768,1.052586,-0.002142,-1.308393,0
53,0.869815,0.840454,2.594195,-0.000000,-2.492739,0
54,0.966198,1.851659,3.111068,-0.000000,-2.547483,0
55,0.138025,1.605994,4.301734,-0.000320,-0.685214,0
56,0.228944,0.557502,3.057754,-0.287616,-0.866541,0
57,0.595721,1.459818,1.349545,-0.148065,-0.171445,0
58,0.314095,1.056712,4.199985,-0.936165,-1.468412,1
59,0.621686,0.637878,0.838761,-0.000612,-1.867287,0
60,0.717369,1.582000,3.458285,-0.000000,-2.051190,0
61,0.942511,1.097823,1.584450,-0.000000,-2.657527,0
62,0.992926,0.930651,2.795608,-0.000000,-2.629017,0
63,0.727621,0.743118,4.113338,-0.000000,-1.956936,0
64,0.761458,1.584792,0.262382,-0.204043,-0.070958,0
65,0.636886,1.569034,4.907504,-0.000000,-1.817084,0
66,0.525140,1.138597,1.555947,-0.522194,-3.150848,0
67,0.910716,1.913786,2.759848,-0.000000,-2.490481,0
68,0.390651,0.610561,3.087759,-0.000015,-1.278108,0
69,0.278104,0.664445,2.349075,-0.383196,-0.025852,0
70,0.202049,0.750846,2.879759,-0.072938,-0.810465,0
71,0.201424,1.159580,1.384621,-0.000199,-0.909517,0
72,0.599733,1.269826,3.063715,-0.000050,-1.812446,0
73,0.368629,0.742647,1.328942,-0.495139,-0.165741,0
74,0.627623,0.592600,4.995841,-0.000000,-1.801646,0
75,0.865365,1.299261,0.621036,-0.248006,-0.093422,0
76,0.890894,0.980760,2.625778,-0.000000,-2.513928,0
77,0.568187,1.645081,4.026538,-0.000000,-1.736454,0
78,0.980402,1.645621,4.722344,-0.000000,-2.842951,0
79,0.545469,1.163139,0.008319,-0.136439,-1.683045,0
80,0.902273,1.963110,2.472694,-0.000000,-2.480578,0
81,0.643834,1.577884,2.047672,-0.481614,-3.337157,0
82,0.985700,1.897123,1.343579,-0.091535,-2.868028,0
83,0.971056,0.897965,2.574837,-0.000000,-2.561525,0
84,0.601005,1.504033,3.070052,-0.011206,-1.812422,0
85,0.469586,1.448019,0.073530,-0.001818,-1.524506,0
86,0.797459,1.561133,2.824303,-0.000000,-2.240635,0
87,0.356544,0.988981,2.485152,-0.277055,-0.139090,0
88,0.564132,1.162878,2.557401,-0.305961,-1.737478,0
89,0.948934,1.632791,0.740216,-0.312439,-1.153412,0
90,0.697621,1.643841,1.175565,-0.113154,-0.147226,0
91,0.315805,1.267195,4.912865,-0.767250,-1.415758,1
92,0.550708,1.092345,4.585339,-0.000000,-1.673818,0
93,0.713583,1.436018,3.026439,-0.000000,-2.050887,0
94,0.678089,1.027538,2.162009,-0.000021,-1.983392,0
95,0.544416,1.235248,2.199656,-0.418663,-0.064666,0
96,0.392936,1.883066,1.491904,-0.002077,-1.350802,0
97,0.623274,1.338435,4.557921,-0.000000,-1.817628,0
98,0.100878,0.843005,1.622697,-0.000103,-0.594092,0
99,0.600963,1.804051,2.709918,-0.996960,-1.812469,1
100,0.813035,1.850301,0.359813,-0.300390,-2.248738,0
101,0.329723,0.625055,4.974506,-0.000000,-1.103954,0
102,0.936931,0.824601,0.981676,-0.000000,-2.687771,0
103,0.962062,1.071768,3.213000,-0.000000,-2.526178,0
104,0.273029,0.657340,4.825230,-0.032625,-0.978280,0
105,0.462525,0.899908,2.391080,-0.970945,-1.475379,1
106,0.466185,1.975189,4.555157,-0.020466,-1.472960,0
107,0.985210,1.949953,3.123474,-0.000000,-2.606935,0
108,0.707407,0.700319,1.095531,-0.000001,-2.031073,0
109,0.104843,1.033164,4.560317,-0.000721,-0.539191,0
110,0.911794,0.613735,2.902228,-0.000000,-2.495834,0
111,0.697959,0.981864,2.913380,-0.000000,-2.017812,0
112,0.954976,1.821432,1.903471,-0.000000,-2.710647,0
113,0.698124,1.363801,1.604985,-0.351499,-0.123358,0
114,0.594316,1.824378,4.256796,-0.000000,-1.796141,0
115,0.400358,1.024039,4.067936,-0.013908,-1.321005,0
116,0.714393,0.773636,4.479363,-0.000000,-1.936231,0
117,0.730008,1.341815,2.048113,-0.021916,-2.058456,0
118,0.689269,1.904396,1.516431,-0.114028,-0.074588,0
119,0.361119,1.762714,3.580596,-0.258612,-1.220540,0
120,0.542832,1.738856,3.582325,-0.036358,-1.684630,0
121,0.699882,0.671301,4.210612,-0.000000,-1.910306,0
122,0.782605,1.205051,2.710154,-0.000000,-2.195471,0
123,0.166207,1.496362,4.814167,-0.002886,-0.727966,0
124,0.680369,0.764781,3.631244,-0.000000,-1.879899,0
125,0.981809,1.441699,4.994186,-0.000000,-2.849259,0
126,0.384042,1.593877,3.392140,-0.262655,-0.008275,0
127,0.997359,1.912944,2.516320,-0.000000,-2.784659,0
128,0.178006,0.590518,2.446644,-0.022835,-0.717270,0
129,0.180411,0.634568,4.560579,-0.019408,-0.722450,0
130,0.659470,0.962059,2.561924,-0.000000,-1.933993,0
131,0.106451,1.765833,4.897123,-0.000137,-0.600404,0
132,0.543711,0.685299,4.902006,-0.000000,-1.559120,0
133,0.168516,0.803167,0.719611,-0.000853,-0.753332,0
134,0.906887,1.983376,4.607467,-0.000000,-2.593163,0
135,0.918396,1.332577,1.835563,-0.000000,-2.571142,0
136,0.332465,0.975469,1.134639,-0.070310,-1.172154,0
137,0.929711,0.774663,1.354419,-0.000000,-2.612176,0
138,0.960283,1.722112,0.196308,-0.027241,-0.172406,0
139,0.536116,1.631307,4.927079,-0.000000,-1.660345,0
140,0.977729,1.566257,1.959559,-0.000000,-2.771945,0
141,0.450653,1.370794,0.921616,-0.029413,-1.475138,0
142,0.128390,1.295937,2.674612,-0.000075,-0.694054,0
143,0.362717,0.829501,3.926995,-0.032128,-1.216738,0
144,0.946193,1.884720,2.546720,-0.000000,-2.618702,0
145,0.524570,1.937071,4.335066,-0.000033,-1.628062,0
146,0.542984,1.195868,1.248564,-0.166180,-0.139775,0
147,0.254318,1.178546,3.749214,-0.110305,-0.952296,0
148,0.317961,1.879467,1.950307,-0.000849,-1.177925,0
149,0.635997,1.952474,3.470906,-0.000018,-1.895219,0
150,0.788224,1.050177,0.910687,-0.434561,-2.135147,0
151,0.279933,1.852005,0.454326,-0.000012,-1.140194,0
152,0.171686,0.847141,1.096946,-0.001037,-0.760556,0
153,0.215743,1.569615,0.329151,-0.000005,-1.005356,0
154,0.159627,1.452110,0.412214,-0.000003,-0.885560,0
155,0.946644,0.753648,3.414301,-0.000000,-2.487295,0
156,0.921164,1.404699,3.012274,-0.000000,-2.473785,0
157,0.656626,1.795056,1.069791,-0.268414,-1.942242,0
158,0.363866,1.276237,1.413125,-0.018000,-1.260220,0
159,0.791607,1.012067,0.802562,-0.387817,-2.146605,0
160,0.232000,0.702139,3.196535,-0.317440,-0.615128,0
161,0.113878,1.490416,3.899769,-0.000110,-0.636195,0
162,0.778466,1.026559,0.174504,-0.305944,-0.092806,0
163,0.497600,1.699742,2.838252,-0.225646,-0.023544,0
164,0.982224,0.516747,4.229317,-0.000000,-2.850524,0
165,0.535334,1.423459,0.457332,-0.026950,-1.680903,0
166,0.526870,0.556574,0.124483,-0.108229,-1.642704,0
167,0.848151,1.688380,4.351989,-0.000000,-2.259394,0
168,0.529228,0.780359,0.895011,-0.980798,-2.637083,1
169,0.428493,0.577376,4.142946,-0.000000,-1.372092,0
170,0.427095,0.983088,0.804146,-0.238035,-0.042455,0
171,0.316495,1.121526,0.728453,-0.003851,-1.153007,0
172,0.699669,1.551889,3.817042,-0.000000,-2.025430,0
173,0.928892,0.676852,1.451647,-0.000000,-2.607899,0
174,0.576453,0.643989,0.082918,-0.626813,-1.165801,1
175,0.792579,1.641459,3.743095,-0.000000,-2.122330,0
176,0.937181,1.374377,1.015886,-0.112633,-2.688818,0
177,0.202366,1.836443,2.183694,-0.000054,-0.921647,0
178,0.625649,0.779907,3.929150,-0.000000,-1.804366,0
179,0.960318,1.659863,1.476340,-0.000987,-2.769376,0
180,0.788093,1.528821,2.774806,-0.000000,-2.192866,0
181,0.754792,0.889090,0.343708,-0.586785,-0.055173,0
182,0.981031,0.797649,3.233091,-0.000000,-2.593504,0
183,0.783464,0.589068,4.721838,-0.000000,-2.076955,0
184,0.575572,1.676073,0.138130,-0.003359,-1.781880,0
185,0.527541,0.779258,4.361861,-0.000000,-1.627183,0
186,0.319024,0.742474,0.030700,-0.232423,-1.101268,0
187,0.606449,1.689120,2.091154,-0.171804,-0.062770,0
188,0.106845,1.570513,1.467294,-0.000003,-0.741265,0
189,0.386567,1.755534,4.563533,-0.770733,-1.281256,1
190,0.596152,0.686188,4.433562,-0.000000,-1.759389,0
191,0.241441,0.751306,2.799906,-0.452616,-0.024740,0
192,0.662987,0.665678,3.166994,-0.000000,-1.947100,0
193,0.463796,0.558782,2.019015,-0.000007,-1.472610,0
194,0.775791,1.989236,0.876878,-0.098954,-0.138306,0
195,0.621913,1.589221,2.557284,-0.990621,-1.868075,1
196,0.719828,1.516195,3.246349,-0.000000,-2.048882,0
197,0.103698,0.698096,0.522679,-0.000182,-0.564708,0
198,0.313205,0.863803,1.668718,-0.572713,-1.068479,0
199,0.255549,0.999258,0.693214,-0.001650,-1.000895,0
200,0.308247,0.969792,0.569378,-0.008601,-1.110144,0
201,0.101613,1.285600,3.864985,-0.000115,-0.588808,0
202,0.949908,1.765016,0.043493,-0.028618,-0.058657,0
203,0.285993,1.228851,4.714835,-0.320219,-0.024171,0
204,0.855667,1.912570,3.002799,-0.000000,-2.446096,0
205,0.524861,0.741408,2.953144,-0.000000,-1.627242,0
206,0.899667,1.290773,2.308834,-0.000000,-2.462591,0
207,0.697179,1.667468,3.878463,-0.000000,-2.020694,0
208,0.518734,0.875033,0.028166,-0.285064,-3.149121,0
209,0.825293,1.753329,1.799872,-0.257950,-2.277716,0
210,0.515039,1.897286,0.186602,-0.000454,-1.641268,0
211,0.936522,1.924843,3.145399,-0.000000,-2.473104,0
