Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.290801,0.845282,4.304975,-0.998464,-1.012041,1
1,0.449091,0.825589,0.541352,-0.767482,-2.796833,1
2,0.475648,1.172520,2.250610,-0.749502,-2.801354,1
3,0.503203,1.198912,2.571653,-0.997667,-1.570369,1
4,0.529228,0.780359,0.895011,-0.980798,-2.637083,1
5,0.600963,1.804051,2.709918,-0.996960,-1.812469,1
6,0.621913,1.589221,2.557284,-0.990621,-1.868075,1
7,0.793332,0.959511,0.311900,-0.686658,-2.876901,1
8,0.858858,1.837169,1.410981,-0.676846,-4.329459,1
9,0.928170,1.334948,0.045815,-0.624250,-4.701887,1
10,0.961253,1.476473,0.206966,-0.284645,-4.806174,0
