Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.479135,1.449373,3.289716,-0.991792,-1.528677
1,0.381311,1.100331,3.884050,-0.979689,-1.262678
2,0.314095,1.056712,4.199985,-0.936165,-1.468412
3,0.315805,1.267195,4.912865,-0.767250,-1.415758
4,0.600963,1.804051,2.709918,-0.996960,-1.812469
5,0.462525,0.899908,2.391080,-0.970945,-1.475379
6,0.529228,0.780359,0.895011,-0.980798,-2.637083
7,0.576453,0.643989,0.082918,-0.626813,-1.165801
8,0.386567,1.755534,4.563533,-0.770733,-1.281256
9,0.621913,1.589221,2.557284,-0.990621,-1.868075
10,0.616833,1.445488,2.328920,-0.989022,-1.863762
11,0.761445,1.001709,0.850847,-0.618606,-2.088903
12,0.584219,1.058010,2.037669,-0.675133,-1.773177
13,0.417888,0.651792,1.306779,-0.646006,-0.745004
14,0.385109,0.822757,2.980453,-0.817676,-1.268351
15,0.659371,1.444376,2.224137,-0.728564,-1.937195
16,0.258296,0.775891,2.190331,-0.632437,-0.945344
17,0.449091,0.825589,0.541352,-0.767482,-2.796833
18,0.291791,1.012400,4.736489,-0.781941,-1.031298
19,0.435063,0.710137,1.653780,-0.988996,-1.401842
20,0.359230,0.530344,1.274859,-0.660966,-1.210131
21,0.416381,1.099338,2.626943,-0.813213,-2.523082
22,0.361892,1.028545,2.988423,-0.649843,-1.962451
23,0.484652,1.135215,2.633706,-0.980674,-1.543201
24,0.338473,1.138216,4.492931,-0.985783,-1.153319
25,0.328428,1.104500,4.970983,-0.872476,-1.125639
26,0.348205,0.955795,3.604562,-0.950950,-1.176546
27,0.392820,1.236116,3.710964,-0.925162,-1.293934
28,0.413491,1.297896,3.985312,-0.979426,-1.372214
29,0.372924,1.374433,4.324905,-0.860222,-1.250110
30,0.620857,1.175554,1.073314,-0.655039,-3.458518
31,0.437293,1.521200,3.837986,-0.979657,-1.406791
32,0.306921,1.116473,4.885327,-0.921903,-1.078180
33,0.417861,1.128640,3.383095,-0.990933,-1.374662
34,0.657886,1.315544,2.074924,-0.609936,-1.937454
35,0.297254,0.501415,1.211248,-0.981821,-1.039624
36,0.594870,0.992310,1.666834,-0.937564,-1.792999
37,0.464079,1.648397,3.949183,-0.990193,-1.479304
38,0.384699,1.175062,4.220591,-0.653681,-1.268193
39,0.616550,1.437621,2.253383,-0.986080,-1.863707
40,0.448709,0.661064,0.131631,-0.848726,-2.491559
41,0.858858,1.837169,1.410981,-0.676846,-4.329459
42,0.476226,1.565243,3.603449,-0.978410,-1.520228
43,0.316684,0.910368,4.659223,-0.613151,-1.091002
44,0.444264,1.362160,3.847882,-0.839901,-1.426417
45,0.928170,1.334948,0.045815,-0.624250,-4.701887
46,0.613854,1.523787,2.483121,-0.988505,-1.855608
47,0.419546,0.788066,1.954082,-0.938036,-2.360440
48,0.484054,1.715125,3.684030,-0.990800,-1.541760
49,0.405130,1.258724,4.075577,-0.813788,-1.338490
50,0.385231,0.593713,0.064120,-0.910492,-2.339532
51,0.519743,1.806518,3.480767,-0.984961,-1.618192
52,0.568548,1.526190,2.936345,-0.852880,-1.749157
53,0.367499,1.167223,3.983008,-0.905790,-1.232167
54,0.345761,1.041985,3.410246,-0.803785,-1.861702
55,0.368394,1.487926,4.793799,-0.992258,-1.239806
56,0.500062,0.634175,0.426049,-0.905064,-1.569597
57,0.447322,1.725392,4.265353,-0.749773,-1.436024
58,0.434022,1.630554,4.272331,-0.926986,-1.398005
59,0.338533,0.858053,3.632874,-0.995141,-1.153292
60,0.286894,0.981952,4.973461,-0.955230,-0.998813
61,0.815537,1.025931,0.514080,-0.826493,-2.241357
62,0.550597,0.693816,0.432987,-0.903083,-2.351267
63,0.400139,0.531066,0.071730,-0.610968,-0.399316
64,0.523048,1.410167,3.057862,-0.939916,-1.629393
65,0.602114,1.145003,1.967103,-0.976804,-1.815940
66,0.405344,0.656225,1.451752,-0.986807,-1.339098
67,0.503203,1.198912,2.571653,-0.997667,-1.570369
68,0.419256,1.541533,4.191326,-0.992997,-1.375582
69,0.290801,0.845282,4.304975,-0.998464,-1.012041
70,0.646840,1.553623,2.027619,-0.652383,-3.482725
71,0.250205,0.590096,0.341060,-0.787997,-0.914342
72,0.492554,1.339877,3.142209,-0.992278,-1.563848
73,0.425344,0.640695,1.369947,-0.924515,-1.379441
74,0.793332,0.959511,0.311900,-0.686658,-2.876901
75,0.292078,0.871821,4.787836,-0.891228,-1.017993
76,0.331832,0.845377,2.500710,-0.913335,-1.773507
77,0.518739,1.301259,2.976459,-0.785596,-1.615021
78,0.438271,1.976029,4.272915,-0.988220,-1.409398
79,0.378166,1.351213,4.541994,-0.966649,-1.260239
80,0.331713,0.754644,3.647689,-0.765693,-1.133544
81,0.545357,0.999650,0.817726,-0.669446,-3.210083
82,0.342262,0.930138,2.937013,-0.947695,-1.855296
83,0.475648,1.172520,2.250610,-0.749502,-2.801354
84,0.500629,1.013817,2.254772,-0.982074,-1.569815
85,0.552324,1.073987,2.194730,-0.913246,-1.701129
86,0.611834,1.365268,2.391505,-0.916164,-1.848478
87,0.276428,0.535469,2.033876,-0.943164,-0.988235
88,0.475832,1.348267,3.539727,-0.624755,-1.519010
89,0.634323,1.611179,2.224646,-0.641703,-3.411953
90,0.690141,1.817505,2.243765,-0.604711,-3.607118
91,0.428416,1.583957,4.076113,-0.983001,-1.383211
92,0.387469,1.155088,3.557511,-0.805288,-1.282788
93,0.453225,1.232679,3.311456,-0.985895,-1.460647
94,0.781339,1.988897,1.906857,-0.972552,-2.115702
95,0.374798,0.941056,3.702690,-0.654074,-1.259825
96,0.245668,0.618983,3.989946,-0.604599,-0.915277
97,0.741008,1.491001,1.884378,-0.716086,-2.080649
98,0.371072,0.575510,1.476635,-0.774696,-1.246185
99,0.634725,1.790605,2.527491,-0.974964,-1.892694
