Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.377439,0.853511,3.108525,-0.995490,-1.260159,1
1,0.441134,0.914255,1.282785,-0.775945,-2.788714,1
2,0.447630,0.727713,1.453429,-0.994008,-1.437666,1
3,0.469604,0.617658,0.536438,-0.993499,-1.498189,1
4,0.482347,1.473766,3.431899,-0.992804,-1.536709,1
5,0.615833,0.842453,0.657475,-0.968629,-2.703057,1
6,0.653351,0.886419,0.604910,-0.755410,-2.828486,1
7,0.658494,1.797857,2.412680,-0.992637,-1.937641,1
8,0.705045,1.437763,1.432579,-0.642872,-3.698601,1
9,0.785379,1.742765,1.834690,-0.987264,-2.125652,1
10,0.813951,1.491318,0.954938,-0.599174,-4.216147,0
11,0.835069,1.250729,0.119603,-0.506063,-4.375454,0
12,0.886927,0.988471,0.202932,-0.943545,-2.777709,1
13,0.925647,1.423799,0.197012,-0.278568,-4.610605,0
