Attribute,Value
Number Critical Scenarios,76
Number Critical Scenarios (duplicate free),76
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.79
Ratio Best Critical/Best Scenarios (duplicate free),0.79
