n_evals,sp_global
40,0.18005788882560303
80,0.2756383215488088
120,0.1918502863494124
160,0.10729524671793154
200,0.12499999999999985
240,0.06544053249270015
280,0.09090909090909079
320,0.04675029004458981
360,0.05882352941176481
400,0.051186549092864346
440,0.053390776472086815
480,0.07340431035213127
520,0.06983610957051198
560,0.07992856558955126
600,0.058823529411764955
640,0.0476190476190477
680,0.07144487612079362
720,0.07363766816763206
760,0.04878048780487797
800,0.035714285714285685
840,0.032786885245901606
880,0.0392138395136911
920,0.03030303030303054
960,0.02439024390243901
1000,0.020000000000000042
1040,0.016260162601625956
1080,0.014712737881432736
1120,0.01532100642668693
1160,0.015385362513497371
1200,0.020000000000000153
1240,0.021978021978021983
1280,0.01721203129376839
1320,0.0183486238532111
1360,0.01680672268907567
1400,0.015873015873015685
1440,0.01369863013698609
1480,0.013157894736841974
1520,0.010465206119115583
1560,0.011919373874463075
1600,0.02779848676639823
1640,0.026384644281386208
1680,0.0227272727272727
1720,0.019047619047618855
1760,0.0176343209874381
1800,0.02222222222222232
1840,0.030742200241287636
1880,0.030303030303030314
1920,0.02588160382273602
1960,0.021374523133847124
2000,0.02020202020202016
