n_evals,igde
40,0.5123739580631622
80,0.5123739580631622
120,0.5123739580631622
160,0.36959066354569964
200,0.32972855441074217
240,0.3015922167692397
280,0.29337710101861436
320,0.2931688758977078
360,0.2880300198264318
400,0.28789667879209563
440,0.28609407127724473
480,0.2859729492922217
520,0.28588937912714263
560,0.28500318595134383
600,0.2849300242653768
640,0.2849058299957414
680,0.2849051324212766
720,0.28490306315039093
760,0.2849009819916131
800,0.2849009819916131
840,0.2848841854963687
880,0.2848790526971404
920,0.2848037398720894
960,0.28480327956288914
1000,0.2847710777397794
1040,0.28467138453562535
1080,0.28467138453562535
1120,0.28082080734052156
1160,0.27988953846288045
1200,0.27982875919264194
1240,0.27982824741209167
1280,0.2798247465658777
1320,0.2798237417043302
1360,0.27981641471167573
1400,0.279802674306822
1440,0.279802674306822
1480,0.2797515594836165
1520,0.2788127553155475
1560,0.2787996746655312
1600,0.27879965403698725
1640,0.27879965403698725
1680,0.2787804943749707
1720,0.2787804943749707
1760,0.27876923728721514
1800,0.27876912218915617
1840,0.27876257184391295
1880,0.27876257184391295
1920,0.2787329179273258
1960,0.27873282004790434
2000,0.27873281142439615
