Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.325514,1.164304,4.663822,-0.986359,-1.116765
1,0.383479,1.805454,4.978909,-0.987543,-1.265493
2,0.360273,0.538784,0.729584,-0.993660,-1.213154
3,0.321483,1.260858,4.769714,-0.732575,-1.438336
4,0.564072,0.817994,0.655674,-0.683274,-2.639592
5,0.615058,0.817462,0.808533,-0.912012,-1.860321
6,0.594754,0.980056,1.724587,-0.727432,-1.792483
7,0.288454,0.768649,3.930909,-0.991326,-1.003958
8,0.649838,1.374831,2.043813,-0.971629,-1.934804
9,0.483389,1.004040,2.469290,-0.997618,-1.540359
10,0.586571,0.925647,1.360512,-0.875156,-2.620596
11,0.374600,1.106878,3.755617,-0.981931,-1.257443
12,0.455943,0.938401,2.539011,-0.986575,-1.471322
13,0.504940,1.443613,3.215063,-0.980730,-1.570362
14,0.622585,1.579642,2.403248,-0.988987,-1.868281
15,0.257499,0.721866,4.813439,-0.989463,-0.918433
16,0.359896,1.198402,4.051538,-0.798968,-1.205197
17,0.510045,1.952917,3.728426,-0.926636,-1.586415
18,0.673669,0.847109,0.380983,-0.995480,-2.932710
19,0.462825,1.813471,3.935086,-0.996609,-1.476509
20,0.581019,1.017665,1.850025,-0.870117,-1.772026
21,0.801618,1.498733,1.477571,-0.966278,-2.186594
22,0.400782,1.666661,4.479828,-0.995311,-1.321797
23,0.607907,0.992737,1.604884,-0.867519,-1.834541
24,0.508072,1.537095,3.193797,-0.995453,-1.580023
25,0.405829,0.659887,0.596786,-0.737726,-2.406885
26,0.426716,0.612585,1.084677,-0.939660,-1.381660
27,0.309637,0.836701,2.837850,-0.842322,-1.396650
28,0.281991,0.609247,3.533059,-0.618749,-0.990318
29,0.295714,0.914328,4.791145,-0.981121,-1.033673
30,0.436289,1.163615,3.610260,-0.733501,-1.405942
31,0.456580,1.061473,1.905493,-0.615868,-2.774635
32,0.272571,0.513067,1.923795,-0.998220,-0.993860
33,0.360964,0.621860,2.168117,-0.645917,-1.215910
