Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.342397,0.737103,2.864755,-0.999915,-1.159913,1
1,0.343542,0.736866,2.936876,-0.999895,-1.161534,1
2,0.393828,1.257019,3.933335,-0.999849,-1.294806,1
3,0.395887,1.269815,3.915370,-0.999695,-1.302627,1
4,0.734708,0.950494,0.780623,-0.991918,-2.766288,1
5,0.734708,0.950494,0.782111,-0.991918,-2.766288,1
6,0.734708,0.950494,0.782150,-0.991918,-2.766288,1
7,0.812056,1.552890,1.142196,-0.723923,-4.204385,1
8,0.866699,0.942765,0.017014,-0.942552,-3.169206,1
9,0.866699,0.949167,0.008481,-0.903299,-3.188602,1
10,0.866699,0.949167,0.008603,-0.903299,-3.188602,1
11,0.867321,0.951105,0.104873,-0.979696,-2.964675,1
12,0.867321,0.951105,0.104878,-0.979696,-2.964675,1
13,0.871969,0.972808,0.013999,-0.773955,-3.544885,1
14,0.872299,0.972808,0.014249,-0.776137,-3.544219,1
15,0.872299,0.972808,0.014303,-0.776137,-3.544219,1
16,0.873477,0.972808,0.013044,-0.777228,-3.543645,1
17,0.873477,0.972808,0.014249,-0.777228,-3.543645,1
18,0.873477,0.972808,0.014504,-0.777228,-3.543645,1
19,0.873477,0.972808,0.015472,-0.777228,-3.543645,1
20,0.874541,0.968590,0.014737,-0.798654,-3.358097,1
21,0.874542,0.967374,0.014737,-0.803261,-3.346159,1
22,0.874542,0.968590,0.014737,-0.798654,-3.358097,1
23,0.875037,0.949425,0.017291,-0.948740,-3.167915,1
24,0.875044,0.972848,0.015472,-0.788481,-3.455432,1
25,0.875162,0.968426,0.036438,-0.831198,-3.261495,1
26,0.875162,0.972878,0.014737,-0.788944,-3.455422,1
27,0.875162,0.972878,0.014745,-0.788944,-3.455422,1
28,0.907192,0.969763,0.036438,-0.965131,-2.965073,1
29,0.910362,0.971856,0.059261,-0.982581,-2.877031,1
30,0.926756,0.972808,0.036438,-0.990182,-2.777889,1
31,0.926756,1.322285,0.010706,-0.636641,-4.697528,1
32,0.926756,1.322285,0.010725,-0.636641,-4.697528,1
33,0.926756,1.322285,0.010931,-0.636641,-4.697528,1
34,0.927731,1.357988,0.110066,-0.631982,-4.700192,1
35,0.927852,0.968637,0.036244,-0.999271,-2.680003,1
36,0.927852,0.968637,0.036293,-0.999271,-2.680003,1
37,0.929490,0.972808,0.014249,-0.983894,-2.778392,1
38,0.929800,0.972808,0.013152,-0.989999,-2.778379,1
