Attribute,Value
Problem,Demo_AVP_Metrics_Paper
Algorithm,NSGA-II
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,"('Critical adapted distance', 'Velocity at critical distance')"
Critical function,CriticalAdasAdaptedDistanceVelocity
Search time,18748.38 sec
population_size,40
n_generations,50
prob_mutation,0.3333333333333333
