Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.775547,1.626788,1.817563,-0.901290,-2.104183
1,0.312899,1.164698,4.557755,-0.673076,-1.362964
2,0.775547,1.626788,1.817563,-0.901290,-2.104183
3,0.521497,1.451551,3.042466,-0.978202,-1.623445
4,0.325585,0.869735,2.776528,-0.862279,-1.694307
5,0.312899,1.164698,4.557755,-0.673076,-1.362964
6,0.775547,1.626788,1.817563,-0.901290,-2.104183
7,0.521497,1.451551,3.042466,-0.978202,-1.623445
8,0.521497,1.451551,3.081465,-0.970977,-1.624062
9,0.325585,0.869735,2.776528,-0.862279,-1.694307
10,0.312899,1.164698,4.557755,-0.673076,-1.362964
11,0.775547,1.626788,1.817563,-0.901290,-2.104183
12,0.521497,1.451551,3.042466,-0.978202,-1.623445
13,0.521497,1.462429,3.081465,-0.972523,-1.624062
14,0.325585,0.869735,2.776528,-0.862279,-1.694307
15,0.521497,1.451551,3.081465,-0.970977,-1.624062
16,0.312899,1.164698,4.557755,-0.673076,-1.362964
17,0.775547,1.626788,1.817563,-0.901290,-2.104183
18,0.521497,1.451551,3.042466,-0.978202,-1.623445
19,0.521497,1.462429,3.081465,-0.972523,-1.624062
20,0.332202,0.871634,2.770427,-0.965264,-1.755740
21,0.515711,1.462429,3.081465,-0.983549,-1.604630
22,0.775547,1.626788,1.814503,-0.901290,-2.104183
23,0.513789,1.453255,3.042466,-0.986753,-1.598658
24,0.521497,1.451551,3.081465,-0.970977,-1.624062
25,0.325585,0.869735,2.776528,-0.862279,-1.694307
26,0.312899,1.164698,4.557755,-0.673076,-1.362964
27,0.775547,1.626788,1.817563,-0.901290,-2.104183
28,0.775547,1.626788,1.814503,-0.901290,-2.104183
29,0.575897,1.646981,2.786620,-0.997029,-1.766569
30,0.781803,1.636962,1.822235,-0.820850,-2.116357
31,0.521497,1.451551,3.042466,-0.978202,-1.623445
32,0.521497,1.462429,3.081465,-0.972523,-1.624062
33,0.332202,0.871634,2.770427,-0.965264,-1.755740
34,0.515711,1.462429,3.081465,-0.983549,-1.604630
35,0.513789,1.453255,3.042466,-0.986753,-1.598658
36,0.516560,1.451585,2.972568,-0.976985,-1.607415
37,0.521497,1.451551,3.081465,-0.970977,-1.624062
38,0.325585,0.869735,2.776528,-0.862279,-1.694307
39,0.512680,1.455302,2.982397,-0.978294,-1.594614
40,0.312899,1.164698,4.557755,-0.673076,-1.362964
41,0.575897,1.646981,2.786620,-0.997029,-1.766569
42,0.420409,0.914925,1.480609,-0.600582,-2.629112
43,0.521497,1.451551,2.965251,-0.999255,-1.623445
44,0.782655,1.626788,1.733826,-0.976970,-2.118838
45,0.575897,1.622535,2.786620,-0.995250,-1.766569
46,0.775547,1.626788,1.817563,-0.901290,-2.104183
47,0.775547,1.626788,1.814503,-0.901290,-2.104183
