Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.430102,0.911583,1.463413,-0.875962,-2.748802,1
1,0.430124,0.911583,1.461566,-0.878551,-2.748772,1
2,0.431412,0.913371,1.461718,-0.870954,-2.755552,1
3,0.431412,0.913371,1.463309,-0.870954,-2.755552,1
4,0.432115,0.914947,1.463309,-0.869353,-2.759177,1
5,0.432115,0.914947,1.463392,-0.869353,-2.759177,1
6,0.521497,1.451255,2.979347,-0.999928,-1.623445,1
7,0.523509,1.451521,2.981998,-0.999847,-1.630020,1
8,0.552695,0.905938,1.629838,-0.990832,-2.535730,1
9,0.558274,0.897026,0.135413,-0.727035,-3.334769,1
10,0.558274,0.897026,0.136006,-0.727035,-3.334769,1
11,0.558274,0.905938,1.680766,-0.996693,-2.437460,1
12,0.558734,0.897026,0.126370,-0.716842,-3.334794,1
13,0.560019,0.897026,1.557222,-0.989310,-2.539625,1
14,0.567024,0.895399,1.463394,-0.976288,-2.661558,1
15,0.568483,0.895399,1.463312,-0.963024,-2.662289,1
16,0.568483,0.895399,1.463394,-0.963024,-2.662289,1
17,0.570667,1.643878,2.762984,-0.839909,-3.143309,1
18,0.774203,1.618221,1.463471,-0.627577,-3.850361,1
19,0.774225,1.618208,1.461624,-0.627812,-3.850359,1
20,0.774226,1.618208,1.463481,-0.627812,-3.850359,1
21,0.785161,1.623006,1.681591,-0.999453,-2.125210,1
22,0.792027,1.477504,1.461624,-0.998986,-2.147607,1
23,0.979990,1.481654,0.236858,-0.565662,-4.917170,0
24,0.980669,1.483078,0.236858,-0.558029,-4.918587,0
25,0.999741,1.481644,0.115501,-0.371593,-5.004845,0
26,0.999887,1.482548,0.154097,-0.507472,-5.004844,0
27,0.999888,1.478852,0.153921,-0.533566,-5.004840,0
