Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.369166,0.596893,1.254044,-0.999771,-1.241652,1
1,0.408848,0.676973,1.140538,-0.998569,-2.399545,1
2,0.408848,0.676973,1.142470,-0.998569,-2.399545,1
3,0.508336,0.830149,1.430019,-0.997143,-2.678590,1
4,0.588575,1.121304,1.161759,-0.814919,-3.379736,1
5,0.588575,1.121304,1.163754,-0.814919,-3.379736,1
6,0.592628,1.112592,1.090829,-0.795611,-3.389826,1
7,0.592629,1.112592,1.090829,-0.795611,-3.389826,1
8,0.593317,1.109999,1.064622,-0.771129,-3.432049,1
9,0.983864,1.456771,0.165122,-0.568825,-4.927705,0
10,0.983864,1.456771,0.166214,-0.568825,-4.927705,0
11,0.983864,1.456771,0.168131,-0.568825,-4.927705,0
12,0.996980,1.464927,0.132054,-0.561883,-4.997069,0
13,0.996980,1.464927,0.132718,-0.561883,-4.997069,0
14,0.999552,1.456874,0.105416,-0.548961,-5.003681,0
15,0.999969,1.457628,0.104814,-0.545260,-5.005821,0
16,0.999969,1.457628,0.104922,-0.545260,-5.005821,0
