Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.503139,1.057192,2.282337,-0.999851,-1.570323,1
1,0.544828,0.848435,1.255216,-0.974748,-2.592707,1
2,0.584912,1.017303,0.646416,-0.731905,-3.442590,1
3,0.631453,0.994651,0.054523,-0.402136,-3.586976,0
4,0.664605,1.703281,2.313029,-0.995559,-1.940258,1
5,0.666897,1.091403,0.294284,-0.315126,-3.684367,0
6,0.722090,1.810751,2.142134,-0.987867,-2.050990,1
7,0.802683,0.922693,0.103977,-0.865214,-2.982631,1
8,0.809347,1.721162,1.674371,-0.981686,-2.217351,1
9,0.878035,0.974880,0.143031,-0.912471,-2.964818,1
10,0.898466,0.982273,0.132153,-0.946401,-2.866186,1
11,0.984697,1.750792,0.691061,-0.309167,-4.803920,0
12,0.987558,1.559927,0.289037,-0.227833,-4.842327,0
