Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.532871,1.918426,3.445686,-0.987501,-1.664878
1,0.489844,0.780861,0.992220,-0.799343,-2.558846
2,0.479822,1.765450,3.864479,-0.958831,-1.530700
3,0.302621,0.960542,4.815857,-0.998788,-1.063746
4,0.248974,0.632000,0.975860,-0.745582,-0.914773
5,0.802683,0.922693,0.103977,-0.865214,-2.982631
6,0.774267,0.957530,0.562792,-0.941998,-2.663090
7,0.546068,1.105262,2.362550,-0.797460,-1.686249
8,0.428727,1.632616,4.010295,-0.982252,-1.384850
9,0.450600,0.690190,0.826681,-0.970256,-2.435124
10,0.573715,0.935325,1.410771,-0.670526,-2.572144
11,0.423485,0.761691,2.323392,-0.734351,-1.378293
12,0.763466,0.942977,0.419052,-0.827170,-2.963502
13,0.878035,0.974880,0.143031,-0.912471,-2.964818
14,0.277157,0.668177,3.971104,-0.904098,-0.990030
15,0.573083,1.521167,2.752412,-0.986439,-1.759629
16,0.443617,1.558783,3.848048,-0.980870,-1.424471
17,0.458470,1.107944,3.082040,-0.977907,-1.473489
18,0.898466,0.982273,0.132153,-0.946401,-2.866186
19,0.594884,0.941301,1.573270,-0.775688,-1.793172
20,0.399561,1.611419,4.598600,-0.947213,-1.317874
21,0.522380,1.023893,2.164108,-0.977743,-1.626416
22,0.857935,1.722345,1.491270,-0.686802,-2.395286
23,0.356077,1.252069,4.377515,-0.920969,-1.199330
24,0.400597,0.851276,2.891152,-0.871501,-1.320964
25,0.542217,1.555960,3.085154,-0.979303,-1.684377
26,0.335902,1.041329,4.412739,-0.986179,-1.145064
27,0.371663,0.941406,3.191388,-0.922122,-1.246816
28,0.364297,0.813622,2.642224,-0.835820,-1.219658
29,0.363549,0.648155,2.288032,-0.707127,-1.223014
30,0.347709,0.543290,1.566841,-0.857879,-1.171676
31,0.473763,0.630366,0.485663,-0.996884,-1.512141
32,0.260676,0.554133,3.045098,-0.987842,-0.937202
33,0.722090,1.810751,2.142134,-0.987867,-2.050990
34,0.503139,1.057192,2.282337,-0.999851,-1.570323
35,0.789166,1.313277,1.279574,-0.952727,-2.138186
36,0.926229,1.017120,0.033275,-0.641295,-3.292924
37,0.360979,1.212669,4.584442,-0.873633,-1.215479
38,0.493803,1.847578,3.411710,-0.741280,-1.565173
39,0.437398,1.023762,1.916265,-0.632943,-2.755607
40,0.443855,1.781440,4.352779,-0.727622,-1.424967
41,0.584912,1.017303,0.646416,-0.731905,-3.442590
42,0.392900,1.240218,4.065150,-0.996275,-1.291308
43,0.493055,0.822763,1.399842,-0.912673,-2.586106
44,0.490979,0.728337,1.183602,-0.920906,-1.558772
45,0.667394,1.194928,1.751048,-0.728996,-1.949272
46,0.630868,1.964798,2.684320,-0.989383,-1.879069
47,0.267533,0.560863,3.453203,-0.727733,-0.974460
48,0.425930,0.591769,0.632046,-0.825934,-1.586673
