Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.419230,0.653431,0.701294,-0.999824,-2.389109,1
1,0.564029,0.791706,0.691528,-0.998362,-2.635981,1
2,0.564029,0.791706,0.692994,-0.998362,-2.635981,1
3,0.564029,0.791706,0.693099,-0.998362,-2.635981,1
4,0.564029,0.791706,0.696778,-0.998362,-2.635981,1
5,0.611605,1.360872,1.823186,-0.823924,-3.374714,1
6,0.611605,1.360872,1.829816,-0.823924,-3.374714,1
7,0.685694,0.852289,0.375741,-0.996107,-2.940046,1
8,0.685694,0.852289,0.378992,-0.996107,-2.940046,1
9,0.685991,0.875908,0.394781,-0.826467,-2.940671,1
10,0.697202,1.049966,0.091093,-0.702260,-3.797394,1
11,0.697202,1.049966,0.091402,-0.702260,-3.797394,1
12,0.697202,1.049966,0.092561,-0.702260,-3.797394,1
13,0.699109,1.049966,0.081900,-0.700132,-3.803600,1
14,0.701348,1.050988,0.072795,-0.675921,-3.810834,1
15,0.955056,1.546573,0.483076,-0.603475,-4.792386,1
16,0.955056,1.546573,0.484615,-0.603475,-4.792386,1
17,0.955414,1.546569,0.484615,-0.592555,-4.793467,0
18,0.999960,1.645709,0.513711,-0.542201,-4.990782,0
19,0.999992,1.647386,0.513161,-0.529333,-4.991235,0
20,0.999992,1.647386,0.513687,-0.529333,-4.991235,0
