NSGA-II_n_evals,NSGA-II_igde,NSGA-II_igde_sigma,RS__n_evals,RS__igde,RS__igde_sigma
250,0.31383197581972266,0.07123812675779898,250,0.21737082280638673,0.03393577544343571
500,0.2958061060293219,0.07133793543945016,500,0.1531038793153863,0.03310388838294388
750,0.2929680443080865,0.07216045376960674,750,0.12737694110563283,0.02232912402356952
1000,0.2906870346472049,0.07295363042113542,1000,0.11417491118412153,0.016024901084386232
1250,0.2899272706055502,0.07219712454862916,1250,0.10191106670216607,0.016620151835925124
1500,0.28915619952600136,0.07178125264010576,1500,0.09104310112011409,0.01586185206080031
1750,0.28726605483693984,0.07255819942770807,1750,0.08337506935582453,0.01568934138200781
2000,0.28417683464753674,0.07503135947775966,2000,0.07879604744542665,0.013168894977722018
